simulationId,playerId,benchRound,gamesSinceLastBench
1,P1,6,2
1,P8,6,0
1,P14,6,1
1,P16,6,0
1,P5,7,4
1,P9,7,2
1,P13,7,4
1,P17,7,4
1,P3,8,6
1,P6,8,2
1,P10,8,3
1,P19,8,4
1,P11,9,6
1,P12,9,3
1,P15,9,5
1,P18,9,7
1,P2,10,6
1,P4,10,5
1,P7,10,8
1,P20,10,8
1,P8,11,4
1,P10,11,2
1,P11,11,1
1,P15,11,1
1,P7,12,1
1,P9,12,4
1,P14,12,5
1,P17,12,4
1,P5,13,5
1,P6,13,4
1,P16,13,6
1,P20,13,2
1,P1,14,7
1,P12,14,4
1,P13,14,6
1,P18,14,4
1,P2,15,4
1,P3,15,6
1,P4,15,4
1,P19,15,6
1,P2,16,0
1,P6,16,2
1,P10,16,4
1,P14,16,3
1,P3,17,1
1,P4,17,1
1,P8,17,5
1,P12,17,2
1,P7,18,5
1,P13,18,3
1,P16,18,4
1,P20,18,4
1,P5,19,5
1,P9,19,6
1,P17,19,6
1,P18,19,4
1,P1,20,5
1,P11,20,8
1,P15,20,8
1,P19,20,4
1,P3,21,3
1,P8,21,3
1,P11,21,0
1,P12,21,3
1,P9,22,2
1,P13,22,3
1,P16,22,3
1,P17,22,2
1,P1,23,2
1,P4,23,5
1,P15,23,2
1,P19,23,2
1,P5,24,4
1,P6,24,7
1,P10,24,7
1,P14,24,7
1,P2,25,8
1,P7,25,6
1,P18,25,5
1,P20,25,6
1,P7,26,0
1,P9,26,3
1,P15,26,2
1,P20,26,0
1,P4,27,3
1,P5,27,2
1,P12,27,5
1,P13,27,4
1,P6,28,3
1,P11,28,6
1,P16,28,5
1,P17,28,5
1,P1,29,5
1,P2,29,3
1,P8,29,7
1,P18,29,3
1,P3,30,8
1,P10,30,5
1,P14,30,5
1,P19,30,6
1,P1,31,1
1,P6,31,2
1,P16,31,2
1,P17,31,2
1,P12,32,4
1,P15,32,5
1,P18,32,2
1,P19,32,1
1,P5,33,5
1,P9,33,6
1,P11,33,4
1,P13,33,5
1,P3,34,3
1,P8,34,4
1,P10,34,3
1,P14,34,3
1,P2,35,5
1,P4,35,7
1,P7,35,8
1,P20,35,8
1,P2,36,0
1,P13,36,2
1,P17,36,4
1,P18,36,3
1,P6,37,5
1,P8,37,2
1,P12,37,4
1,P15,37,4
1,P4,38,2
1,P14,38,3
1,P16,38,6
1,P20,38,2
1,P1,39,7
1,P3,39,4
1,P5,39,5
1,P11,39,5
1,P7,40,4
1,P9,40,6
1,P10,40,5
1,P19,40,7
1,P1,41,1
1,P6,41,3
1,P13,41,4
1,P15,41,3
1,P3,42,2
1,P4,42,3
1,P12,42,4
1,P20,42,3
1,P5,43,3
1,P16,43,4
1,P17,43,6
1,P18,43,6
1,P2,44,7
1,P10,44,3
1,P11,44,4
1,P19,44,3
1,P7,45,4
1,P8,45,7
1,P9,45,4
1,P14,45,6
1,P3,46,3
1,P7,46,0
1,P9,46,0
1,P10,46,1
1,P5,47,3
1,P11,47,2
1,P13,47,5
1,P20,47,4
1,P1,48,6
1,P2,48,3
1,P6,48,6
1,P14,48,2
1,P8,49,3
1,P12,49,6
1,P16,49,5
1,P19,49,4
1,P4,50,7
1,P15,50,8
1,P17,50,6
1,P18,50,6
2,P1,6,3
2,P4,6,0
2,P5,6,4
2,P6,6,1
2,P8,7,3
2,P9,7,1
2,P19,7,1
2,P20,7,4
2,P3,8,2
2,P10,8,6
2,P11,8,3
2,P12,8,4
2,P2,9,7
2,P7,9,6
2,P15,9,5
2,P18,9,5
2,P13,10,8
2,P14,10,5
2,P16,10,5
2,P17,10,7
2,P1,11,4
2,P9,11,3
2,P11,11,2
2,P18,11,1
2,P3,12,3
2,P6,12,5
2,P15,12,2
2,P19,12,4
2,P2,13,3
2,P7,13,3
2,P16,13,2
2,P17,13,2
2,P8,14,6
2,P10,14,5
2,P14,14,3
2,P20,14,6
2,P4,15,8
2,P5,15,8
2,P12,15,6
2,P13,15,4
2,P4,16,0
2,P7,16,2
2,P14,16,1
2,P16,16,2
2,P5,17,1
2,P10,17,2
2,P12,17,1
2,P13,17,1
2,P1,18,6
2,P6,18,5
2,P11,18,6
2,P15,18,5
2,P2,19,5
2,P3,19,6
2,P18,19,7
2,P20,19,4
2,P8,20,5
2,P9,20,8
2,P17,20,6
2,P19,20,7
2,P5,21,3
2,P13,21,3
2,P16,21,4
2,P19,21,0
2,P2,22,2
2,P9,22,1
2,P10,22,4
2,P18,22,2
2,P3,23,3
2,P6,23,4
2,P12,23,5
2,P14,23,6
2,P8,24,3
2,P15,24,5
2,P17,24,3
2,P20,24,4
2,P1,25,6
2,P4,25,8
2,P7,25,8
2,P11,25,6
2,P1,26,0
2,P8,26,1
2,P17,26,1
2,P20,26,1
2,P5,27,5
2,P9,27,4
2,P10,27,4
2,P19,27,5
2,P4,28,2
2,P12,28,4
2,P14,28,4
2,P15,28,3
2,P2,29,6
2,P6,29,5
2,P13,29,7
2,P16,29,7
2,P3,30,6
2,P7,30,4
2,P11,30,4
2,P18,30,7
2,P3,31,0
2,P6,31,1
2,P10,31,3
2,P16,31,1
2,P1,32,5
2,P7,32,1
2,P11,32,1
2,P19,32,4
2,P8,33,6
2,P12,33,4
2,P13,33,3
2,P14,33,4
2,P2,34,4
2,P9,34,6
2,P17,34,7
2,P20,34,7
2,P4,35,6
2,P5,35,7
2,P15,35,6
2,P18,35,4
2,P4,36,0
2,P8,36,2
2,P14,36,2
2,P19,36,3
2,P3,37,5
2,P5,37,1
2,P10,37,5
2,P17,37,2
2,P2,38,3
2,P11,38,5
2,P12,38,4
2,P20,38,3
2,P1,39,6
2,P7,39,6
2,P13,39,5
2,P15,39,3
2,P6,40,8
2,P9,40,5
2,P16,40,8
2,P18,40,4
2,P4,41,4
2,P5,41,3
2,P12,41,2
2,P18,41,0
2,P2,42,3
2,P17,42,4
2,P19,42,5
2,P20,42,3
2,P3,43,5
2,P11,43,4
2,P13,43,3
2,P14,43,6
2,P1,44,4
2,P6,44,3
2,P9,44,3
2,P10,44,6
2,P7,45,5
2,P8,45,8
2,P15,45,5
2,P16,45,4
2,P2,46,3
2,P3,46,2
2,P7,46,0
2,P18,46,4
2,P1,47,2
2,P8,47,1
2,P12,47,5
2,P15,47,1
2,P6,48,3
2,P10,48,3
2,P16,48,2
2,P20,48,5
2,P13,49,5
2,P14,49,5
2,P17,49,6
2,P19,49,6
2,P4,50,8
2,P5,50,8
2,P9,50,5
2,P11,50,6
3,P6,6,0
3,P7,6,4
3,P17,6,3
3,P19,6,4
3,P2,7,2
3,P10,7,3
3,P12,7,2
3,P13,7,3
3,P1,8,5
3,P14,8,2
3,P18,8,3
3,P20,8,3
3,P4,9,7
3,P8,9,5
3,P11,9,5
3,P15,9,6
3,P3,10,7
3,P5,10,4
3,P9,10,8
3,P16,10,4
3,P6,11,4
3,P13,11,3
3,P18,11,2
3,P19,11,4
3,P1,12,3
3,P14,12,3
3,P16,12,1
3,P20,12,3
3,P7,13,6
3,P9,13,2
3,P10,13,5
3,P17,13,6
3,P2,14,6
3,P11,14,4
3,P12,14,6
3,P15,14,4
3,P3,15,4
3,P4,15,5
3,P5,15,4
3,P8,15,5
3,P1,16,3
3,P7,16,2
3,P8,16,0
3,P17,16,2
3,P2,17,2
3,P4,17,1
3,P13,17,5
3,P18,17,5
3,P6,18,6
3,P10,18,4
3,P12,18,3
3,P20,18,5
3,P3,19,3
3,P9,19,5
3,P15,19,4
3,P19,19,7
3,P5,20,4
3,P11,20,5
3,P14,20,7
3,P16,20,7
3,P4,21,3
3,P9,21,1
3,P16,21,0
3,P18,21,3
3,P5,22,1
3,P6,22,3
3,P8,22,5
3,P20,22,3
3,P1,23,6
3,P7,23,6
3,P10,23,4
3,P14,23,2
3,P3,24,4
