simulationId,numPlayers,numCourts,rounds,avgGamesBetweenBenches,minGamesBetweenBenches,maxGamesBetweenBenches,theoreticalMax
1,18,4,50,7.7682926829268295,1,16,8
2,18,4,50,7.682926829268292,0,16,8
3,18,4,50,7.695121951219512,0,15,8
4,18,4,50,7.7560975609756095,0,15,8
5,18,4,50,7.804878048780488,1,16,8
6,18,4,50,7.804878048780488,1,15,8
7,18,4,50,7.804878048780488,1,15,8
8,18,4,50,7.890243902439025,1,16,8
9,18,4,50,7.7439024390243905,1,15,8
10,18,4,50,7.7926829268292686,0,15,8
11,18,4,50,7.7439024390243905,0,15,8
12,18,4,50,7.719512195121951,1,16,8
13,18,4,50,7.7926829268292686,0,16,8
14,18,4,50,7.719512195121951,0,15,8
15,18,4,50,7.804878048780488,0,16,8
16,18,4,50,7.829268292682927,0,16,8
17,18,4,50,7.719512195121951,0,15,8
18,18,4,50,7.670731707317073,0,16,8
19,18,4,50,7.841463414634147,1,16,8
20,18,4,50,7.7073170731707314,0,16,8
21,18,4,50,7.670731707317073,0,15,8
22,18,4,50,7.670731707317073,1,16,8
23,18,4,50,7.7926829268292686,1,16,8
24,18,4,50,7.719512195121951,0,15,8
25,18,4,50,7.7560975609756095,1,15,8
26,18,4,50,7.695121951219512,1,16,8
27,18,4,50,7.829268292682927,0,16,8
28,18,4,50,7.695121951219512,0,16,8
29,18,4,50,7.951219512195122,0,16,8
30,18,4,50,7.695121951219512,0,15,8
31,18,4,50,7.780487804878049,0,15,8
32,18,4,50,7.7073170731707314,0,15,8
33,18,4,50,7.7439024390243905,1,14,8
34,18,4,50,7.682926829268292,0,16,8
35,18,4,50,7.902439024390244,1,15,8
36,18,4,50,7.780487804878049,0,15,8
37,18,4,50,7.7926829268292686,0,16,8
38,18,4,50,7.841463414634147,1,16,8
39,18,4,50,7.695121951219512,0,15,8
40,18,4,50,7.7073170731707314,1,16,8
41,18,4,50,7.658536585365853,0,15,8
42,18,4,50,7.829268292682927,1,16,8
43,18,4,50,7.890243902439025,1,15,8
44,18,4,50,7.695121951219512,1,16,8
45,18,4,50,7.7073170731707314,0,16,8
46,18,4,50,7.853658536585366,1,16,8
47,18,4,50,7.7926829268292686,1,16,8
48,18,4,50,7.7682926829268295,0,16,8
49,18,4,50,7.695121951219512,0,16,8
50,18,4,50,7.829268292682927,1,15,8
51,18,4,50,7.621951219512195,0,16,8
52,18,4,50,7.597560975609756,1,16,8
53,18,4,50,7.804878048780488,0,16,8
54,18,4,50,7.7926829268292686,0,16,8
55,18,4,50,7.597560975609756,0,16,8
56,18,4,50,7.597560975609756,0,16,8
57,18,4,50,7.719512195121951,0,16,8
58,18,4,50,7.926829268292683,1,16,8
59,18,4,50,7.7073170731707314,0,15,8
60,18,4,50,7.817073170731708,1,16,8
61,18,4,50,7.646341463414634,0,16,8
62,18,4,50,7.7682926829268295,0,16,8
63,18,4,50,7.829268292682927,1,14,8
64,18,4,50,7.902439024390244,0,16,8
65,18,4,50,7.7439024390243905,0,15,8
66,18,4,50,8,0,15,8
67,18,4,50,7.7682926829268295,0,15,8
68,18,4,50,7.695121951219512,0,15,8
69,18,4,50,7.780487804878049,1,15,8
70,18,4,50,7.7560975609756095,0,16,8
