pairId,totalMatches,asTeammate,asOpponent
P10|P11,407,137,270
P11|P3,401,132,269
P11|P16,435,155,280
P10|P3,433,155,278
P10|P16,414,143,271
P16|P3,400,128,272
P17|P2,394,137,257
P12|P2,425,134,291
P2|P9,406,141,265
P12|P17,419,137,282
P17|P9,395,132,263
P12|P9,389,139,250
P1|P6,413,149,264
P5|P6,391,148,243
P4|P6,402,141,261
P1|P5,423,140,283
P1|P4,404,133,271
P4|P5,394,128,266
P15|P8,397,139,258
P15|P7,383,128,255
P14|P15,415,126,289
P7|P8,401,131,270
P14|P8,422,137,285
P14|P7,379,126,253
P10|P6,415,150,265
P6|P8,413,129,284
P2|P6,398,140,258
P10|P8,405,134,271
P10|P2,412,132,280
P2|P8,429,131,298
P12|P3,403,139,264
P1|P12,418,142,276
P12|P5,418,139,279
P1|P3,388,145,243
P3|P5,412,136,276
P17|P7,402,126,276
P4|P7,430,156,274
P13|P7,400,121,279
P17|P4,432,136,296
P13|P17,422,148,274
P13|P4,409,130,279
P15|P9,411,154,257
P11|P15,407,124,283
P14|P9,430,152,278
P11|P14,388,139,249
P11|P9,407,132,275
P11|P6,407,135,272
P15|P6,433,147,286
P11|P2,387,132,255
P15|P2,430,131,299
P1|P13,418,139,279
P1|P8,392,148,244
P12|P13,407,145,262
P12|P8,412,115,297
P13|P8,432,145,287
P14|P16,400,145,255
P14|P4,429,142,287
P14|P17,417,132,285
P16|P4,406,141,265
P16|P17,407,151,256
P3|P7,408,138,270
P10|P5,391,131,260
P10|P7,425,136,289
P5|P7,401,139,262
P11|P5,426,142,284
P16|P5,404,137,267
P16|P6,385,122,263
P12|P14,383,141,242
P13|P14,417,136,281
P13|P2,416,139,277
P14|P2,418,153,265
P4|P8,430,152,278
P4|P9,423,148,275
P7|P9,417,139,278
P8|P9,425,135,290
P15|P3,410,128,282
P17|P3,414,139,275
P10|P15,396,138,258
P10|P17,388,132,256
P15|P17,396,136,260
P16|P8,409,142,267
P17|P8,449,154,295
P17|P6,366,131,235
P15|P5,419,136,283
P12|P15,389,125,264
P2|P5,414,132,282
P1|P11,429,143,286
P1|P7,403,131,272
P11|P13,406,140,266
P11|P7,429,147,282
P3|P9,435,142,293
P14|P3,430,141,289
P10|P9,381,124,257
P10|P14,403,129,274
P10|P13,419,134,285
P13|P5,385,123,262
P13|P16,420,137,283
P11|P4,399,125,274
P3|P4,406,138,268
P2|P7,411,138,273
P1|P17,407,126,281
P1|P15,409,135,274
P11|P8,390,132,258
P11|P12,410,130,280
P5|P8,389,142,247
P16|P9,395,142,253
P16|P2,427,141,286
P2|P4,409,144,265
P13|P6,403,131,272
P15|P4,426,144,282
P10|P4,409,124,285
P1|P10,410,128,282
P12|P16,428,140,288
P16|P7,427,129,298
P12|P7,398,137,261
P5|P9,439,145,294
P13|P9,400,136,264
P17|P5,406,124,282
P2|P3,394,137,257
P14|P5,389,134,255
P13|P15,409,139,270
P6|P9,400,124,276
P1|P16,392,112,280
P12|P4,406,125,281
P3|P6,392,126,266
P1|P14,405,140,265
P11|P17,407,130,277
P10|P12,411,142,269
P6|P7,439,151,288
P1|P9,410,123,287
P1|P2,395,134,261
P13|P3,404,131,273
P15|P16,422,139,283
P12|P6,418,130,288
P14|P6,412,118,294
P3|P8,397,142,255
P18|P8,293,91,202
P11|P18,324,109,215
P13|P18,337,114,223
P18|P2,323,96,227
P14|P18,328,95,233
P18|P9,325,100,225
P12|P18,333,123,210
P18|P3,318,104,214
P15|P18,315,118,197
P17|P18,330,113,217
P18|P4,306,100,206
P18|P5,329,109,220
P1|P18,338,114,224
P16|P18,311,104,207
P18|P6,314,106,208
P10|P18,322,101,221
P18|P7,318,111,207
P15|P19,235,78,157
P18|P19,243,85,158
P19|P2,237,85,152
P19|P3,247,74,173
P10|P19,250,91,159
P19|P6,254,89,165
P19|P7,243,80,163
P12|P19,239,81,158
P11|P19,227,64,163
P19|P9,230,74,156
P1|P19,247,91,156
P14|P19,253,81,172
P19|P5,266,79,187
P16|P19,212,65,147
P19|P4,243,87,156
P19|P8,233,77,156
P13|P19,245,87,158
P17|P19,257,85,172
P1|P20,166,56,110
P20|P3,173,48,125
P14|P20,194,73,121
P20|P8,181,57,124
P16|P20,169,54,115
P18|P20,164,57,107
P19|P20,185,61,124
P20|P6,182,56,126
P20|P9,165,41,124
P20|P5,176,66,110
P17|P20,179,59,120
P15|P20,174,61,113
P20|P7,167,58,109
P10|P20,175,63,112
P2|P20,160,52,108
P12|P20,169,59,110
P11|P20,168,64,104
P13|P20,151,50,101
P20|P4,164,53,111
P15|P21,110,39,71
P21|P9,107,34,73
P19|P21,111,33,78
P18|P21,105,46,59
P2|P21,105,35,70
P10|P21,100,28,72
P21|P7,101,38,63
P20|P21,108,34,74
P12|P21,111,36,75
P17|P21,99,37,62
P21|P3,121,42,79
P21|P6,115,31,84
P1|P21,95,27,68
P16|P21,121,34,87
P11|P21,119,48,71
P21|P4,108,33,75
P21|P5,116,35,81
P21|P8,112,35,77
P14|P21,116,38,78
P13|P21,111,44,67
P18|P22,57,15,42
P22|P6,55,15,40
P22|P3,54,15,39
P1|P22,57,17,40
P15|P22,60,17,43
P20|P22,53,19,34
P14|P22,36,10,26
P11|P22,58,17,41
P22|P8,56,21,35
P22|P5,52,15,37
P16|P22,56,19,37
P10|P22,50,20,30
P19|P22,53,23,30
P22|P4,50,15,35
P17|P22,48,13,35
P22|P9,53,24,29
P12|P22,48,19,29
P21|P22,50,20,30
P13|P22,50,18,32
P22|P7,46,16,30
P2|P22,53,17,36
