simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged,batch
1,3,4,P15|P17,P11|P14,P1|P14,true,1
2,2,3,P7|P8,P15|P9,P11|P6,true,1
3,5,6,P1|P19,P14|P18,P12|P4,true,1
7,3,4,P1|P6,P12|P4,P16|P8,true,1
7,6,7,P18|P20,P17|P5,P11|P13,true,1
12,6,7,P16|P8,P15|P6,P17|P9,true,1
15,7,8,P10|P11,P16|P18,P5|P6,true,1
19,6,7,P11|P18,P1|P6,P14|P3,true,1
23,5,6,P11|P3,P16|P5,P19|P20,true,1
24,8,9,P13|P7,P18|P3,P20|P8,true,1
25,3,4,P4|P7,P1|P16,P18|P9,true,1
28,7,8,P1|P6,P16|P2,P13|P8,true,1
30,6,7,P12|P6,P3|P4,P15|P20,true,1
33,9,10,P10|P11,P1|P16,P2|P5,true,1
39,9,10,P7|P9,P10|P6,P14|P3,true,1
40,6,7,P12|P4,P10|P16,P1|P11,true,1
42,3,4,P14|P9,P2|P5,P11|P18,true,1
42,8,9,P5|P9,P18|P19,P18|P7,true,1
43,4,5,P3|P4,P1|P6,P5|P6,true,1
45,4,5,P3|P4,P15|P6,P13|P20,true,1
46,1,2,P6|P9,P3|P4,P16|P20,true,1
46,9,10,P6|P7,P13|P15,P10|P11,true,1
47,5,6,P12|P5,P18|P19,P13|P17,true,1
47,8,9,P1|P8,P15|P3,P14|P2,true,1
48,6,7,P1|P18,P15|P4,P14|P8,true,1
49,1,2,P14|P17,P1|P12,P13|P8,true,1
54,7,8,P17|P5,P4|P6,P10|P14,true,1
56,6,7,P1|P6,P11|P9,P13|P8,true,1
57,8,9,P4|P8,P13|P14,P10|P19,true,1
61,6,7,P12|P4,P1|P20,P11|P8,true,1
61,9,10,P1|P14,P16|P19,P10|P6,true,1
64,9,10,P18|P19,P15|P2,P16|P7,true,1
66,8,9,P14|P20,P12|P3,P15|P3,true,1
66,9,10,P11|P9,P13|P4,P13|P14,true,1
68,5,6,P10|P7,P13|P6,P17|P19,true,1
72,1,2,P6|P8,P10|P2,P19|P9,true,1
72,2,3,P15|P17,P11|P13,P5|P8,true,1
75,7,8,P15|P2,P5|P7,P12|P13,true,1
77,1,2,P16|P18,P19|P20,P2|P8,true,1
78,8,9,P16|P20,P14|P8,P13|P15,true,1
81,3,4,P1|P3,P11|P6,P12|P7,true,1
81,6,7,P13|P9,P14|P4,P1|P3,true,1
81,8,9,P16|P19,P12|P15,P14|P8,true,1
82,6,7,P12|P8,P15|P16,P11|P17,true,1
82,6,7,P11|P17,P10|P5,P12|P8,true,1
84,3,4,P16|P5,P4|P8,P11|P18,true,1
84,5,6,P12|P14,P20|P4,P1|P2,true,1
84,7,8,P3|P9,P15|P17,P19|P8,true,1
86,6,7,P5|P6,P10|P13,P3|P9,true,1
87,5,6,P11|P16,P1|P4,P2|P8,true,1
87,9,10,P18|P3,P10|P19,P20|P6,true,1
88,3,4,P16|P5,P6|P7,P17|P4,true,1
89,3,4,P4|P9,P10|P15,P1|P5,true,1
91,3,4,P2|P8,P18|P20,P1|P5,true,1
91,5,6,P1|P4,P18|P2,P13|P15,true,1
97,5,6,P4|P9,P13|P20,P14|P16,true,1
98,6,7,P11|P5,P17|P4,P16|P2,true,1
100,2,3,P15|P20,P7|P8,P14|P3,true,1
100,7,8,P4|P6,P13|P3,P5|P8,true,1
100,8,9,P14|P16,P12|P7,P10|P7,true,1
103,7,8,P13|P14,P10|P19,P17|P7,true,1
104,3,4,P15|P2,P17|P20,P12|P16,true,1
104,4,5,P14|P20,P11|P18,P3|P7,true,1
107,2,3,P3|P8,P18|P19,P15|P20,true,1
109,3,4,P10|P2,P1|P7,P17|P4,true,1
109,9,10,P20|P6,P12|P8,P3|P7,true,1
111,8,9,P15|P3,P1|P10,P19|P7,true,1
116,3,4,P17|P4,P19|P7,P12|P15,true,1
116,3,4,P12|P15,P13|P18,P17|P4,true,1
125,5,6,P20|P6,P15|P2,P13|P9,true,1
127,8,9,P11|P3,P13|P5,P16|P19,true,1
133,6,7,P5|P8,P12|P17,P1|P14,true,1
137,5,6,P18|P19,P2|P5,P13|P2,true,1
138,7,8,P14|P16,P2|P20,P12|P3,true,1
147,1,2,P10|P15,P17|P4,P8|P9,true,1
147,6,7,P4|P5,P3|P9,P13|P2,true,1
154,8,9,P13|P6,P4|P9,P1|P9,true,1
159,8,9,P15|P17,P5|P9,P4|P9,true,1
160,5,6,P15|P17,P6|P8,P18|P19,true,1
