simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
5,3,4,P1|P3,P16|P5,P12|P4,true
5,5,6,P14|P2,P11|P15,P15|P18,true
6,8,9,P14|P20,P13|P15,P2|P4,true
7,4,5,P11|P16,P15|P9,P1|P7,true
11,2,3,P16|P20,P17|P7,P1|P11,true
14,8,9,P17|P7,P3|P5,P13|P16,true
16,6,7,P20|P9,P14|P18,P13|P18,true
17,6,7,P2|P3,P11|P5,P14|P16,true
17,9,10,P10|P17,P15|P7,P11|P9,true
20,2,3,P17|P19,P12|P18,P5|P6,true
20,6,7,P4|P5,P3|P8,P11|P13,true
24,7,8,P20|P5,P11|P13,P10|P13,true
25,1,2,P12|P18,P20|P8,P19|P6,true
26,7,8,P3|P5,P16|P17,P13|P16,true
27,6,7,P2|P3,P12|P16,P13|P17,true
28,9,10,P11|P14,P16|P19,P6|P7,true
32,9,10,P13|P9,P19|P7,P14|P2,true
33,7,8,P14|P17,P20|P9,P2|P5,true
33,8,9,P2|P5,P14|P17,P19|P4,true
35,3,4,P13|P9,P18|P20,P14|P15,true
36,6,7,P11|P15,P3|P4,P2|P6,true
37,2,3,P16|P19,P6|P8,P1|P14,true
37,4,5,P12|P9,P13|P2,P20|P3,true
42,8,9,P11|P14,P1|P9,P16|P7,true
44,3,4,P4|P9,P17|P6,P11|P15,true
46,8,9,P13|P2,P15|P19,P14|P15,true
50,6,7,P20|P6,P1|P10,P12|P19,true
51,1,2,P13|P19,P15|P5,P6|P8,true
51,2,3,P17|P18,P12|P16,P2|P9,true
55,1,2,P15|P3,P11|P9,P16|P17,true
57,1,2,P15|P19,P12|P2,P3|P4,true
58,1,2,P13|P6,P12|P14,P19|P5,true
58,8,9,P13|P7,P18|P4,P12|P16,true
59,3,4,P1|P4,P18|P6,P13|P5,true
61,6,7,P16|P9,P1|P10,P20|P4,true
62,1,2,P5|P6,P1|P8,P11|P12,true
63,3,4,P13|P14,P5|P8,P10|P5,true
66,1,2,P12|P20,P10|P15,P4|P5,true
68,3,4,P19|P20,P17|P4,P14|P5,true
72,5,6,P11|P8,P2|P9,P15|P16,true
73,6,7,P14|P17,P12|P20,P10|P8,true
75,6,7,P11|P16,P2|P8,P12|P3,true
77,9,10,P12|P18,P3|P6,P10|P4,true
79,7,8,P13|P16,P11|P3,P15|P19,true
80,5,6,P13|P14,P17|P19,P16|P20,true
82,9,10,P2|P6,P8|P9,P3|P9,true
84,8,9,P4|P6,P15|P2,P18|P7,true
85,5,6,P13|P19,P12|P14,P10|P8,true
85,9,10,P1|P20,P10|P4,P2|P6,true
90,3,4,P15|P2,P4|P5,P19|P20,true
92,3,4,P14|P8,P10|P19,P19|P6,true
