simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
2,7,8,P1|P16,P2|P5,P3|P4,true
3,7,8,P13|P2,P14|P8,P12|P6,true
4,5,6,P5|P7,P11|P18,P14|P16,true
6,9,10,P12|P18,P2|P8,P6|P8,true
8,1,2,P18|P19,P4|P5,P11|P15,true
8,6,7,P20|P7,P11|P14,P10|P6,true
11,6,7,P10|P8,P13|P17,P17|P6,true
12,3,4,P1|P13,P10|P9,P4|P7,true
12,7,8,P2|P3,P20|P7,P4|P9,true
13,2,3,P15|P18,P6|P9,P10|P14,true
13,5,6,P2|P8,P20|P4,P10|P7,true
15,1,2,P1|P9,P16|P5,P13|P19,true
15,9,10,P2|P9,P11|P18,P12|P17,true
17,5,6,P12|P13,P19|P20,P1|P7,true
17,8,9,P4|P7,P11|P15,P20|P6,true
18,1,2,P3|P8,P2|P6,P10|P9,true
18,9,10,P13|P14,P3|P7,P1|P11,true
19,2,3,P14|P15,P19|P8,P10|P7,true
19,5,6,P2|P4,P14|P7,P11|P9,true
19,6,7,P11|P9,P2|P4,P19|P5,true
22,9,10,P14|P18,P6|P9,P11|P7,true
23,5,6,P19|P20,P1|P14,P10|P9,true
26,5,6,P17|P9,P1|P11,P10|P4,true
27,1,2,P10|P7,P19|P5,P11|P20,true
27,7,8,P4|P8,P20|P7,P18|P20,true
27,8,9,P14|P7,P13|P5,P10|P13,true
29,8,9,P19|P2,P12|P7,P1|P17,true
30,7,8,P10|P8,P15|P3,P14|P15,true
31,7,8,P14|P15,P20|P9,P4|P6,true
34,8,9,P7|P9,P13|P17,P20|P3,true
35,5,6,P2|P7,P13|P19,P10|P8,true
42,6,7,P19|P6,P14|P5,P10|P15,true
45,6,7,P12|P18,P2|P7,P11|P6,true
46,5,6,P10|P12,P15|P18,P8|P9,true
46,6,7,P14|P20,P11|P18,P5|P6,true
51,6,7,P16|P5,P2|P6,P18|P8,true
53,1,2,P10|P9,P18|P5,P20|P6,true
53,7,8,P17|P7,P1|P14,P18|P5,true
54,5,6,P12|P15,P13|P20,P16|P18,true
54,7,8,P17|P3,P11|P4,P18|P19,true
54,9,10,P4|P9,P11|P19,P2|P7,true
56,9,10,P19|P8,P6|P7,P17|P9,true
57,5,6,P14|P2,P3|P4,P18|P5,true
58,3,4,P20|P3,P1|P10,P11|P13,true
58,3,4,P11|P13,P5|P9,P20|P3,true
59,4,5,P13|P7,P5|P8,P16|P6,true
