playerId,level,totalWins,totalLosses,gamesPlayed
P1,1,28320,51680,80000
P2,1,28067,51933,80000
P3,2,34321,45679,80000
P4,2,33998,46002,80000
P5,2,34227,45773,80000
P6,2,34186,45814,80000
P7,2,34283,45717,80000
P8,3,39819,40181,80000
P9,3,39531,40469,80000
P10,3,39925,40075,80000
P11,3,39853,40147,80000
P12,3,39942,40058,80000
P13,3,40147,39853,80000
P14,4,46002,33998,80000
P15,4,45891,34109,80000
P16,4,46151,33849,80000
P17,4,46039,33961,80000
P18,4,46003,33997,80000
P19,5,51596,28404,80000
P20,5,51699,28301,80000
