simulationId,rounds,repeatAnyPair,repeatPairDifferentOpponents,repeatPairSameOpponents,repeatPairCount,repeatPairDifferentOpponentsCount,repeatPairSameOpponentsCount
1,3,false,false,false,0,0,0
2,3,false,false,false,0,0,0
3,3,false,false,false,0,0,0
4,3,false,false,false,0,0,0
5,3,false,false,false,0,0,0
6,3,false,false,false,0,0,0
7,3,false,false,false,0,0,0
8,3,false,false,false,0,0,0
9,3,false,false,false,0,0,0
10,3,false,false,false,0,0,0
11,3,false,false,false,0,0,0
12,3,false,false,false,0,0,0
13,3,true,true,false,1,1,0
14,3,false,false,false,0,0,0
15,3,false,false,false,0,0,0
16,3,false,false,false,0,0,0
17,3,false,false,false,0,0,0
18,3,false,false,false,0,0,0
19,3,false,false,false,0,0,0
20,3,false,false,false,0,0,0
21,3,false,false,false,0,0,0
22,3,false,false,false,0,0,0
23,3,true,true,false,1,1,0
24,3,false,false,false,0,0,0
25,3,false,false,false,0,0,0
26,3,false,false,false,0,0,0
27,3,false,false,false,0,0,0
28,3,false,false,false,0,0,0
29,3,false,false,false,0,0,0
30,3,false,false,false,0,0,0
31,3,false,false,false,0,0,0
32,3,false,false,false,0,0,0
33,3,false,false,false,0,0,0
34,3,false,false,false,0,0,0
35,3,true,true,false,1,1,0
36,3,false,false,false,0,0,0
37,3,false,false,false,0,0,0
38,3,false,false,false,0,0,0
39,3,false,false,false,0,0,0
40,3,false,false,false,0,0,0
41,3,true,true,false,1,1,0
42,3,false,false,false,0,0,0
43,3,false,false,false,0,0,0
44,3,false,false,false,0,0,0
45,3,false,false,false,0,0,0
46,3,false,false,false,0,0,0
47,3,false,false,false,0,0,0
48,3,false,false,false,0,0,0
49,3,false,false,false,0,0,0
50,3,false,false,false,0,0,0
51,3,false,false,false,0,0,0
52,3,false,false,false,0,0,0
53,3,false,false,false,0,0,0
54,3,false,false,false,0,0,0
55,3,false,false,false,0,0,0
56,3,false,false,false,0,0,0
57,3,false,false,false,0,0,0
58,3,true,true,false,1,1,0
59,3,false,false,false,0,0,0
60,3,false,false,false,0,0,0
61,3,false,false,false,0,0,0
62,3,false,false,false,0,0,0
63,3,false,false,false,0,0,0
64,3,false,false,false,0,0,0
65,3,false,false,false,0,0,0
66,3,false,false,false,0,0,0
67,3,false,false,false,0,0,0
68,3,true,true,false,1,1,0
69,3,false,false,false,0,0,0
70,3,false,false,false,0,0,0
71,3,false,false,false,0,0,0
72,3,false,false,false,0,0,0
73,3,false,false,false,0,0,0
74,3,false,false,false,0,0,0
75,3,true,true,false,1,1,0
76,3,false,false,false,0,0,0
77,3,false,false,false,0,0,0
78,3,false,false,false,0,0,0
79,3,false,false,false,0,0,0
80,3,false,false,false,0,0,0
81,3,false,false,false,0,0,0
82,3,false,false,false,0,0,0
83,3,true,true,false,1,1,0
84,3,false,false,false,0,0,0
85,3,true,true,false,1,1,0
86,3,true,true,false,1,1,0
87,3,false,false,false,0,0,0
88,3,false,false,false,0,0,0
89,3,true,true,false,1,1,0
90,3,false,false,false,0,0,0
91,3,true,true,false,1,1,0
92,3,false,false,false,0,0,0
93,3,false,false,false,0,0,0
94,3,false,false,false,0,0,0
95,3,false,false,false,0,0,0
96,3,false,false,false,0,0,0
97,3,false,false,false,0,0,0
98,3,false,false,false,0,0,0
99,3,false,false,false,0,0,0
100,3,false,false,false,0,0,0
101,3,false,false,false,0,0,0
102,3,false,false,false,0,0,0
103,3,true,true,false,1,1,0
104,3,false,false,false,0,0,0
