simulationId,roundIndex,courtIndex,team1Players,team2Players,team1Strength,team2Strength,strengthDifferential,winner,strongerTeamWon,team1EngineWins,team2EngineWins,engineWinDifferential,engineBalancedTeamWon
1,1,1,P3|P6,P1|P4,2,2,0,1,true,0,0,0,true
1,1,2,P13|P2,P12|P15,3,5,2,2,true,0,0,0,false
1,1,3,P16|P7,P11|P17,5,6,1,2,true,0,0,0,false
1,1,4,P10|P5,P14|P9,3,5,2,2,true,0,0,0,false
1,2,1,P7|P8,P1|P9,4,3,1,1,true,0,1,1,false
1,2,2,P13|P14,P17|P2,5,5,0,1,true,1,1,0,true
1,2,3,P3|P6,P10|P5,2,3,1,1,false,2,0,2,true
1,2,4,P11|P16,P12|P4,5,3,2,2,false,1,1,0,false
1,3,1,P5|P6,P15|P8,2,5,3,2,true,1,1,0,false
1,3,2,P13|P17,P1|P3,6,2,4,1,true,1,1,0,true
1,3,3,P11|P14,P4|P9,5,3,2,1,true,1,1,0,true
1,3,4,P12|P2,P16|P7,3,5,2,2,true,1,1,0,false
1,4,1,P11|P3,P16|P5,3,4,1,2,true,1,1,0,false
1,4,2,P15|P4,P1|P13,4,3,1,1,true,1,1,0,true
1,4,3,P17|P2,P10|P8,5,4,1,2,false,1,1,0,false
1,4,4,P7|P9,P14|P6,4,4,0,1,true,1,1,0,true
1,5,1,P13|P15,P10|P17,5,6,1,2,true,1,1,0,false
1,5,2,P1|P14,P16|P8,4,5,1,2,true,0,2,2,true
1,5,3,P2|P6,P11|P3,2,3,1,2,true,0,0,0,false
1,5,4,P4|P7,P12|P9,3,4,1,2,true,2,1,1,false
1,6,1,P15|P16,P3|P7,6,3,3,1,true,1,1,0,true
1,6,2,P14|P9,P12|P13,5,4,1,2,false,1,1,0,false
1,6,3,P1|P2,P11|P5,2,3,1,1,false,0,1,1,false
1,6,4,P10|P4,P6|P8,3,3,0,2,false,1,1,0,false
1,7,1,P5|P6,P14|P16,2,6,4,2,true,1,1,0,false
1,7,2,P12|P7,P13|P4,4,3,1,2,false,1,1,0,false
1,7,3,P15|P9,P1|P11,5,3,2,1,true,1,1,0,true
1,7,4,P17|P8,P10|P3,6,3,3,2,false,1,0,1,false
1,8,1,P10|P17,P12|P4,6,3,3,1,true,1,1,0,true
1,8,2,P13|P8,P11|P14,4,5,1,2,true,1,1,0,false
1,8,3,P1|P15,P2|P9,4,3,1,2,false,1,1,0,false
1,8,4,P5|P7,P16|P6,3,4,1,1,false,0,1,1,false
1,9,1,P3|P6,P15|P4,2,4,2,2,true,0,0,0,false
1,9,2,P13|P7,P5|P8,4,3,1,1,true,1,1,0,true
1,9,3,P16|P2,P17|P9,4,6,2,2,true,1,2,1,true
1,9,4,P10|P14,P11|P12,5,4,1,1,true,2,1,1,true
1,10,1,P17|P3,P8|P9,5,4,1,1,true,1,1,0,true
1,10,2,P11|P14,P1|P6,5,2,3,1,true,1,0,1,true
1,10,3,P10|P2,P5|P7,3,3,0,1,true,1,1,0,true
1,10,4,P12|P15,P16|P4,5,4,1,1,true,1,1,0,true
2,1,1,P14|P15,P1|P6,6,2,4,1,true,0,0,0,true
2,1,2,P12|P17,P11|P2,6,3,3,1,true,0,0,0,true
2,1,3,P3|P8,P13|P9,3,4,1,2,true,0,0,0,false
2,1,4,P10|P4,P5|P7,3,3,0,2,false,0,0,0,false
2,2,1,P3|P7,P10|P12,3,4,1,2,true,1,1,0,false
2,2,2,P11|P15,P2|P9,5,3,2,2,false,1,1,0,false
2,2,3,P17|P4,P14|P6,5,4,1,1,true,1,1,0,true
2,2,4,P1|P16,P13|P5,4,3,1,1,true,0,2,2,false
2,3,1,P6|P8,P1|P2,3,2,1,1,true,0,2,2,false
2,3,2,P13|P9,P12|P14,4,5,1,2,true,1,1,0,false
2,3,3,P15|P4,P10|P11,4,4,0,1,true,1,1,0,true
2,3,4,P16|P3,P17|P7,4,6,2,2,true,1,1,0,false
2,4,1,P6|P7,P10|P9,3,4,1,2,true,2,0,2,false
2,4,2,P1|P14,P11|P8,4,4,0,2,false,1,1,0,false
2,4,3,P13|P4,P15|P3,3,4,1,2,true,1,1,0,false
2,4,4,P17|P2,P16|P5,5,4,1,2,false,1,0,1,false
2,5,1,P1|P9,P16|P17,3,7,4,2,true,1,1,0,false
2,5,2,P10|P3,P2|P7,3,3,0,1,true,2,0,2,true
2,5,3,P13|P4,P11|P8,3,4,1,2,true,0,2,2,true
2,5,4,P5|P6,P12|P14,2,5,3,2,true,1,0,1,false
2,6,1,P14|P7,P15|P17,5,7,2,1,false,1,1,0,true
2,6,2,P10|P11,P12|P16,4,5,1,1,false,2,2,0,true
2,6,3,P13|P6,P5|P9,3,3,0,2,false,0,0,0,false
2,6,4,P3|P4,P1|P8,2,3,1,1,false,1,1,0,true
2,7,1,P10|P3,P6|P9,3,3,0,2,false,2,1,1,false
2,7,2,P16|P4,P13|P14,4,5,1,2,true,1,1,0,false
2,7,3,P5|P8,P11|P15,3,5,2,2,true,1,1,0,false
2,7,4,P12|P7,P1|P2,4,2,2,1,true,1,0,1,true
2,8,1,P2|P9,P1|P13,3,3,0,2,false,1,1,0,false
2,8,2,P15|P16,P12|P4,6,3,3,2,false,1,1,0,false
2,8,3,P11|P17,P10|P14,6,5,1,2,false,1,1,0,false
2,8,4,P5|P8,P3|P7,3,3,0,1,true,0,1,1,false
2,9,1,P11|P4,P17|P8,3,6,3,1,false,1,1,0,true
2,9,2,P10|P9,P1|P15,4,4,0,2,false,1,1,0,false
2,9,3,P12|P7,P14|P2,4,4,0,2,false,1,1,0,false
2,9,4,P3|P5,P16|P6,2,4,2,2,true,1,0,1,false
2,10,1,P1|P10,P11|P5,3,3,0,1,true,1,1,0,true
2,10,2,P13|P16,P15|P7,5,5,0,1,true,1,1,0,true
2,10,3,P17|P6,P8|P9,5,4,1,1,true,1,0,1,true
2,10,4,P14|P3,P12|P2,4,3,1,1,true,1,1,0,true
3,1,1,P3|P7,P1|P12,3,3,0,2,false,0,0,0,false
3,1,2,P15|P2,P13|P5,4,3,1,1,true,0,0,0,true
3,1,3,P14|P16,P11|P4,6,3,3,1,true,0,0,0,true
3,1,4,P10|P6,P17|P8,3,6,3,2,true,0,0,0,false
3,2,1,P10|P2,P17|P9,3,6,3,2,true,1,1,0,false
3,2,2,P1|P8,P11|P5,3,3,0,2,false,2,0,2,false
3,2,3,P3|P4,P14|P15,2,6,4,2,true,0,2,2,true
3,2,4,P12|P16,P13|P7,5,4,1,2,false,2,0,2,false
3,3,1,P15|P3,P14|P16,4,6,2,1,false,1,1,0,true
3,3,2,P2|P7,P10|P9,3,4,1,1,false,1,1,0,true
3,3,3,P11|P6,P12|P13,3,4,1,2,true,1,1,0,false
3,3,4,P5|P8,P17|P4,3,5,2,2,true,1,1,0,false
3,4,1,P3|P8,P1|P13,3,3,0,2,false,1,1,0,false
3,4,2,P12|P17,P10|P9,6,4,2,1,true,2,0,2,true
3,4,3,P15|P6,P16|P7,4,5,1,1,false,1,1,0,true
3,4,4,P14|P4,P2|P5,4,2,2,1,true,1,1,0,true
3,5,1,P11|P14,P16|P4,5,4,1,1,true,1,1,0,true
3,5,2,P13|P8,P1|P9,4,3,1,2,false,1,1,0,false
3,5,3,P15|P3,P10|P12,4,4,0,1,true,1,1,0,true
3,5,4,P6|P7,P17|P2,3,5,2,2,true,1,1,0,false
3,6,1,P2|P3,P11|P8,2,4,2,2,true,2,1,1,false
3,6,2,P14|P16,P13|P17,6,6,0,2,false,1,1,0,false
3,6,3,P1|P7,P4|P9,3,3,0,2,false,1,1,0,false
3,6,4,P10|P15,P5|P6,5,2,3,1,true,1,0,1,true
3,7,1,P1|P4,P15|P6,2,4,2,1,false,1,1,0,true
3,7,2,P11|P14,P2|P9,5,3,2,2,false,1,1,0,false
3,7,3,P10|P8,P16|P7,4,5,1,2,true,2,0,2,false
3,7,4,P13|P5,P12|P17,3,6,3,2,true,1,1,0,false
3,8,1,P13|P3,P4|P5,3,2,1,2,false,0,1,1,true
3,8,2,P10|P7,P1|P14,4,4,0,1,true,1,1,0,true
3,8,3,P15|P16,P12|P17,6,6,0,1,true,1,2,1,false
3,8,4,P11|P9,P2|P6,4,2,2,1,true,1,1,0,true
3,9,1,P13|P4,P1|P7,3,3,0,2,false,1,1,0,false
3,9,2,P16|P9,P10|P5,5,3,2,2,false,2,2,0,false
3,9,3,P11|P3,P15|P8,3,5,2,1,false,1,1,0,true
3,9,4,P12|P6,P14|P2,3,4,1,1,false,0,0,0,true
3,10,1,P6|P8,P14|P7,3,5,2,2,true,1,1,0,false
3,10,2,P11|P12,P1|P5,4,2,2,1,true,2,2,0,true
3,10,3,P10|P15,P13|P9,5,4,1,2,false,1,0,1,false
3,10,4,P16|P3,P17|P2,4,5,1,1,false,1,0,1,true
4,1,1,P10|P2,P11|P13,3,4,1,1,false,0,0,0,true
4,1,2,P12|P4,P15|P16,3,6,3,1,false,0,0,0,true
4,1,3,P1|P3,P5|P9,2,3,1,1,false,0,0,0,true
4,1,4,P14|P17,P6|P8,7,3,4,1,true,0,0,0,true
4,2,1,P12|P15,P1|P11,5,3,2,2,false,1,1,0,false
4,2,2,P17|P5,P13|P14,5,5,0,1,true,1,1,0,true
4,2,3,P10|P6,P3|P8,3,3,0,2,false,1,1,0,false
4,2,4,P2|P7,P16|P4,3,4,1,2,true,1,1,0,false
4,3,1,P13|P3,P14|P8,3,5,2,2,true,1,1,0,false
4,3,2,P1|P6,P11|P7,2,4,2,2,true,1,1,0,false
4,3,3,P2|P5,P10|P4,2,3,1,2,true,1,1,0,false
4,3,4,P12|P17,P16|P9,6,5,1,2,false,1,1,0,false
4,4,1,P15|P7,P5|P9,5,3,2,1,true,1,1,0,true
4,4,2,P10|P3,P17|P4,3,5,2,1,false,1,1,0,true
4,4,3,P13|P16,P1|P11,5,3,2,2,false,1,1,0,false
4,4,4,P12|P2,P14|P8,3,5,2,2,true,0,2,2,true
4,5,1,P16|P7,P13|P15,5,5,0,2,false,1,1,0,false
4,5,2,P11|P12,P2|P3,4,2,2,2,false,1,1,0,false
4,5,3,P10|P6,P1|P9,3,3,0,1,true,1,1,0,true
4,5,4,P17|P8,P14|P4,6,4,2,1,true,1,1,0,true
4,6,1,P12|P8,P13|P7,4,4,0,2,false,1,1,0,false
4,6,2,P14|P17,P11|P2,7,3,4,1,true,1,1,0,true
4,6,3,P16|P6,P1|P15,4,4,0,2,false,1,1,0,false
4,6,4,P3|P9,P10|P5,3,3,0,2,false,1,1,0,false
4,7,1,P2|P9,P15|P4,3,4,1,2,true,0,1,1,true
4,7,2,P17|P6,P13|P16,5,5,0,2,false,1,1,0,false
4,7,3,P3|P5,P1|P12,2,3,1,1,false,1,1,0,true
4,7,4,P7|P8,P11|P14,4,5,1,2,true,1,1,0,false
4,8,1,P2|P5,P16|P8,2,5,3,2,true,1,1,0,false
4,8,2,P11|P9,P1|P14,4,4,0,2,false,1,1,0,false
4,8,3,P3|P7,P15|P6,3,4,1,1,false,1,1,0,true
4,8,4,P12|P13,P10|P4,4,3,1,2,false,1,1,0,false
4,9,1,P5|P7,P10|P12,3,4,1,2,true,1,1,0,false
4,9,2,P4|P9,P13|P8,3,4,1,2,true,1,1,0,false
4,9,3,P3|P6,P11|P16,2,5,3,1,false,1,1,0,true
4,9,4,P1|P17,P14|P15,5,6,1,1,false,1,1,0,true
4,10,1,P1|P5,P17|P9,2,6,4,2,true,1,1,0,false
4,10,2,P3|P7,P11|P4,3,3,0,2,false,1,0,1,false
4,10,3,P12|P15,P2|P6,5,2,3,1,true,1,1,0,true
4,10,4,P14|P8,P10|P16,5,5,0,2,false,1,1,0,false
5,1,1,P8|P9,P14|P16,4,6,2,2,true,0,0,0,false
5,1,2,P3|P5,P10|P6,2,3,1,1,false,0,0,0,true
5,1,3,P13|P7,P12|P4,4,3,1,2,false,0,0,0,false
5,1,4,P15|P17,P11|P2,7,3,4,1,true,0,0,0,true
5,2,1,P4|P9,P15|P6,3,4,1,2,true,1,1,0,false
5,2,2,P13|P3,P16|P8,3,5,2,2,true,1,1,0,false
5,2,3,P17|P2,P1|P5,5,2,3,1,true,1,1,0,true
5,2,4,P12|P7,P11|P14,4,5,1,2,true,1,1,0,false
5,3,1,P14|P4,P11|P13,4,4,0,2,false,1,1,0,false
5,3,2,P10|P16,P1|P6,5,2,3,1,true,1,1,0,true
5,3,3,P3|P8,P2|P5,3,2,1,1,true,1,1,0,true
5,3,4,P15|P9,P17|P7,5,6,1,2,true,1,1,0,false
5,4,1,P1|P17,P6|P8,5,3,2,2,false,1,1,0,false
5,4,2,P13|P4,P10|P14,3,5,2,2,true,1,1,0,false
5,4,3,P2|P7,P16|P5,3,4,1,1,false,1,1,0,true
5,4,4,P11|P9,P12|P3,4,3,1,1,true,1,1,0,true
5,5,1,P1|P7,P13|P15,3,5,2,1,false,1,0,1,true
5,5,2,P14|P16,P17|P9,6,6,0,2,false,1,1,0,false
5,5,3,P5|P8,P11|P4,3,3,0,2,false,1,1,0,false
5,5,4,P10|P12,P3|P6,4,2,2,2,false,1,1,0,false
5,6,1,P11|P5,P16|P17,3,7,4,2,true,1,1,0,false
5,6,2,P1|P6,P12|P13,2,4,2,2,true,2,0,2,false
5,6,3,P14|P2,P7|P8,4,4,0,2,false,0,1,1,true
5,6,4,P15|P9,P10|P4,5,3,2,1,true,1,1,0,true
5,7,1,P10|P15,P14|P6,5,4,1,1,true,1,0,1,true
5,7,2,P4|P7,P16|P3,3,4,1,2,true,1,1,0,false
5,7,3,P12|P2,P17|P8,3,6,3,2,true,1,2,1,true
5,7,4,P13|P5,P1|P9,3,3,0,2,false,1,1,0,false
5,8,1,P10|P6,P11|P16,3,5,2,1,false,1,1,0,true
5,8,2,P15|P2,P13|P8,4,4,0,1,true,1,1,0,true
5,8,3,P5|P7,P3|P4,3,2,1,1,true,0,1,1,false
5,8,4,P1|P12,P14|P9,3,5,2,2,true,1,1,0,false
5,9,1,P3|P9,P11|P7,3,4,1,1,false,1,1,0,true
5,9,2,P17|P2,P10|P4,5,3,2,1,true,1,1,0,true
5,9,3,P5|P8,P12|P6,3,3,0,2,false,1,1,0,false
5,9,4,P1|P14,P15|P16,4,6,2,2,true,1,1,0,false
5,10,1,P2|P8,P3|P7,3,3,0,2,false,1,1,0,false
5,10,2,P5|P6,P14|P15,2,6,4,1,false,1,1,0,true
5,10,3,P10|P16,P11|P13,5,4,1,1,true,1,0,1,true
5,10,4,P1|P17,P12|P4,5,3,2,1,true,1,1,0,true
6,1,1,P10|P8,P17|P5,4,5,1,2,true,0,0,0,false
6,1,2,P16|P3,P14|P9,4,5,1,2,true,0,0,0,false
6,1,3,P1|P6,P11|P15,2,5,3,2,true,0,0,0,false
6,1,4,P12|P2,P4|P7,3,3,0,2,false,0,0,0,false
6,2,1,P10|P7,P11|P8,4,4,0,1,true,1,1,0,true
6,2,2,P17|P2,P16|P5,5,4,1,1,true,1,1,0,true
6,2,3,P15|P6,P13|P3,4,3,1,1,true,1,0,1,true
6,2,4,P12|P9,P1|P14,4,4,0,1,true,1,1,0,true
6,3,1,P15|P5,P4|P7,4,3,1,2,false,1,1,0,false
6,3,2,P8|P9,P2|P3,4,2,2,2,false,1,1,0,false
6,3,3,P13|P6,P12|P16,3,5,2,2,true,1,1,0,false
6,3,4,P1|P17,P10|P14,5,5,0,2,false,1,1,0,false
6,4,1,P15|P3,P12|P5,4,3,1,2,false,1,1,0,false
6,4,2,P13|P2,P1|P10,3,3,0,1,true,1,1,0,true
6,4,3,P6|P8,P14|P9,3,5,2,2,true,0,1,1,true
6,4,4,P17|P7,P11|P4,6,3,3,1,true,1,1,0,true
6,5,1,P10|P7,P14|P15,4,6,2,2,true,1,1,0,false
6,5,2,P11|P2,P13|P3,3,3,0,2,false,1,1,0,false
6,5,3,P17|P6,P1|P9,5,3,2,1,true,1,1,0,true
6,5,4,P16|P8,P12|P4,5,3,2,2,false,0,1,1,true
6,6,1,P12|P7,P13|P9,4,4,0,2,false,1,1,0,false
6,6,2,P16|P5,P10|P3,4,3,1,1,true,0,1,1,false
6,6,3,P1|P15,P14|P2,4,4,0,1,true,1,1,0,true
6,6,4,P4|P8,P11|P6,3,3,0,1,true,1,1,0,true
6,7,1,P1|P10,P17|P4,3,5,2,2,true,1,1,0,false
6,7,2,P12|P13,P2|P9,4,3,1,1,true,1,1,0,true
6,7,3,P11|P16,P14|P8,5,5,0,2,false,1,1,0,false
6,7,4,P15|P6,P3|P5,4,2,2,1,true,1,1,0,true
6,8,1,P13|P2,P11|P14,3,5,2,2,true,1,1,0,false
6,8,2,P12|P15,P4|P6,5,2,3,2,false,2,2,0,false
6,8,3,P5|P8,P17|P9,3,6,3,2,true,1,1,0,false
6,8,4,P16|P3,P1|P7,4,3,1,1,true,0,0,0,true
6,9,1,P13|P9,P16|P4,4,4,0,2,false,1,2,1,true
6,9,2,P10|P14,P12|P5,5,3,2,2,false,1,0,1,false
6,9,3,P17|P8,P15|P6,6,4,2,1,true,1,1,0,true
6,9,4,P11|P7,P1|P3,4,2,2,2,false,1,1,0,false
6,10,1,P3|P8,P4|P9,3,3,0,2,false,2,1,1,false
6,10,2,P1|P13,P12|P14,3,5,2,1,false,1,1,0,true
6,10,3,P11|P5,P15|P16,3,6,3,2,true,1,1,0,false
6,10,4,P17|P7,P10|P2,6,3,3,1,true,1,0,1,true
7,1,1,P15|P3,P10|P17,4,6,2,1,false,0,0,0,true
7,1,2,P12|P9,P11|P5,4,3,1,2,false,0,0,0,false
7,1,3,P14|P7,P16|P2,5,4,1,2,false,0,0,0,false
7,1,4,P1|P13,P6|P8,3,3,0,1,true,0,0,0,true
7,2,1,P17|P3,P1|P8,5,3,2,1,true,1,1,0,true
7,2,2,P5|P7,P14|P15,3,6,3,2,true,1,1,0,false
7,2,3,P12|P13,P2|P9,4,3,1,1,true,1,1,0,true
7,2,4,P16|P4,P11|P6,4,3,1,1,true,1,1,0,true
7,3,1,P11|P15,P3|P9,5,3,2,1,true,1,1,0,true
7,3,2,P13|P4,P5|P7,3,3,0,1,true,2,0,2,true
7,3,3,P12|P8,P1|P16,4,4,0,1,true,1,1,0,true
7,3,4,P17|P2,P10|P6,5,3,2,1,true,1,0,1,true
7,4,1,P13|P7,P16|P17,4,7,3,2,true,1,1,0,false
7,4,2,P1|P14,P2|P3,4,2,2,2,false,0,1,1,true
7,4,3,P10|P11,P5|P8,4,3,1,2,false,1,1,0,false
7,4,4,P4|P6,P12|P9,2,4,2,1,false,1,1,0,true
7,5,1,P13|P3,P6|P9,3,3,0,1,true,1,1,0,true
7,5,2,P14|P2,P12|P15,4,5,1,2,true,1,0,1,false
7,5,3,P10|P8,P11|P17,4,6,2,2,true,1,1,0,false
7,5,4,P4|P7,P1|P5,3,2,1,1,true,1,1,0,true
7,6,1,P1|P2,P13|P4,2,3,1,2,true,0,2,2,true
7,6,2,P11|P12,P15|P7,4,5,1,1,false,2,2,0,true
7,6,3,P17|P3,P16|P5,5,4,1,1,true,2,0,2,true
7,6,4,P10|P9,P14|P6,4,4,0,1,true,0,0,0,true
7,7,1,P16|P5,P10|P11,4,4,0,2,false,0,2,2,true
7,7,2,P17|P2,P15|P9,5,5,0,1,true,1,1,0,true
7,7,3,P13|P8,P14|P4,4,4,0,2,false,1,1,0,false
7,7,4,P1|P6,P12|P3,2,3,1,2,true,0,2,2,true
7,8,1,P15|P2,P10|P7,4,4,0,2,false,1,1,0,false
7,8,2,P17|P8,P14|P5,6,4,2,1,true,1,1,0,true
7,8,3,P4|P9,P11|P16,3,5,2,2,true,1,1,0,false
7,8,4,P3|P6,P12|P13,2,4,2,2,true,1,1,0,false
7,9,1,P10|P3,P2|P7,3,3,0,1,true,1,1,0,true
7,9,2,P12|P9,P17|P4,4,5,1,1,false,1,1,0,true
7,9,3,P13|P14,P11|P15,5,5,0,2,false,1,1,0,false
7,9,4,P16|P6,P1|P8,4,3,1,1,true,1,1,0,true
7,10,1,P14|P4,P16|P3,4,4,0,2,false,0,2,2,true
7,10,2,P12|P13,P10|P8,4,4,0,2,false,1,1,0,false
7,10,3,P17|P9,P1|P7,6,3,3,1,true,1,0,1,true
7,10,4,P15|P5,P2|P6,4,2,2,1,true,1,1,0,true
8,1,1,P13|P4,P5|P6,3,2,1,2,false,0,0,0,false
8,1,2,P8|P9,P12|P7,4,4,0,2,false,0,0,0,false
8,1,3,P14|P2,P11|P16,4,5,1,1,false,0,0,0,true
8,1,4,P1|P3,P15|P17,2,7,5,1,false,0,0,0,true
8,2,1,P11|P3,P5|P9,3,3,0,1,true,1,1,0,true
8,2,2,P12|P16,P10|P4,5,3,2,2,false,1,0,1,false
8,2,3,P15|P6,P14|P17,4,7,3,2,true,1,1,0,false
8,2,4,P13|P7,P2|P8,4,3,1,2,false,1,1,0,false
8,3,1,P10|P13,P12|P17,4,6,2,1,false,1,1,0,true
8,3,2,P14|P5,P6|P8,4,3,1,1,true,1,1,0,true
8,3,3,P2|P4,P1|P9,2,3,1,2,true,2,0,2,false
8,3,4,P11|P15,P3|P7,5,3,2,1,true,1,1,0,true
8,4,1,P1|P2,P4|P5,2,2,0,2,false,1,1,0,false
8,4,2,P14|P8,P10|P17,5,6,1,2,true,1,1,0,false
8,4,3,P15|P16,P6|P9,6,3,3,1,true,1,1,0,true
8,4,4,P12|P13,P11|P3,4,3,1,1,true,1,1,0,true
8,5,1,P12|P6,P1|P15,3,4,1,2,true,1,1,0,false
8,5,2,P10|P7,P11|P5,4,3,1,1,true,1,1,0,true
8,5,3,P17|P9,P13|P8,6,4,2,2,false,1,1,0,false
8,5,4,P16|P3,P14|P4,4,4,0,1,true,1,1,0,true
8,6,1,P17|P7,P10|P4,6,3,3,1,true,1,1,0,true
8,6,2,P16|P5,P1|P12,4,3,1,2,false,1,1,0,false
8,6,3,P14|P9,P13|P15,5,5,0,2,false,0,2,2,true
8,6,4,P2|P6,P11|P8,2,4,2,2,true,0,1,1,true
