pairId,totalMatches,asTeammate,asOpponent
P15|P16,399,119,280
P13|P15,433,146,287
P14|P15,390,137,253
P13|P16,405,137,268
P14|P16,419,133,286
P13|P14,406,126,280
P11|P2,428,149,279
P10|P2,413,132,281
P12|P2,402,135,267
P10|P11,398,143,255
P11|P12,421,145,276
P10|P12,415,142,273
P3|P8,425,134,291
P17|P3,380,128,252
P1|P3,444,148,296
P17|P8,423,137,286
P1|P8,405,136,269
P1|P17,420,140,280
P4|P5,404,144,260
P5|P6,400,123,277
P5|P9,401,123,278
P4|P6,409,121,288
P4|P9,431,140,291
P6|P9,399,138,261
P13|P7,438,166,272
P1|P13,380,138,242
P13|P6,396,117,279
P1|P7,410,149,261
P6|P7,424,141,283
P1|P6,398,136,262
P15|P17,406,136,270
P12|P17,402,139,263
P11|P17,393,131,262
P12|P15,411,134,277
P11|P15,414,136,278
P16|P5,433,140,293
P2|P5,377,122,255
P16|P2,393,137,256
P16|P4,409,147,262
P2|P4,394,125,269
P3|P9,419,146,273
P14|P3,413,139,274
P10|P3,415,142,273
P14|P9,412,145,267
P10|P9,403,131,272
P10|P14,408,129,279
P1|P14,441,136,305
P11|P14,424,145,279
P1|P11,394,131,263
P1|P10,425,149,276
P17|P7,423,137,286
P12|P7,399,138,261
P17|P6,398,150,248
P12|P6,430,150,280
P15|P9,387,121,266
P16|P9,410,142,268
P15|P3,419,141,278
P16|P3,405,140,265
P13|P5,416,130,286
P5|P8,425,149,276
P13|P2,416,138,278
P13|P8,399,126,273
P2|P8,401,142,259
P17|P9,407,128,279
P17|P5,404,146,258
P1|P9,419,150,269
P1|P5,386,118,268
P10|P6,410,138,272
P10|P15,419,139,280
P15|P6,419,134,285
P3|P6,413,128,285
P12|P14,403,154,249
P14|P4,392,136,256
P14|P8,383,125,258
P12|P4,407,134,273
P12|P8,381,104,277
P4|P8,381,135,246
P11|P13,421,138,283
P11|P16,375,116,259
P11|P7,401,118,283
P16|P7,409,125,284
P13|P3,414,144,270
P13|P4,414,146,268
P3|P4,411,140,271
P10|P5,429,139,290
P10|P16,398,143,255
P16|P17,386,137,249
P10|P17,397,126,271
P7|P8,396,129,267
P2|P7,403,148,255
P11|P8,429,138,291
P1|P15,414,136,278
P12|P9,440,147,293
P1|P12,420,141,279
P5|P7,418,129,289
P12|P5,427,143,284
P10|P7,405,124,281
P15|P4,440,140,300
P15|P8,425,152,273
P13|P17,417,137,280
P2|P6,409,131,278
P14|P6,438,161,277
P14|P2,434,149,285
P1|P2,393,112,281
P14|P5,417,137,280
P15|P2,394,133,261
P15|P7,415,148,267
P8|P9,386,126,260
P11|P3,404,133,271
P11|P9,418,141,277
P14|P7,391,128,263
P7|P9,398,126,272
P10|P13,412,141,271
P16|P6,413,143,270
P12|P16,391,130,261
P11|P6,398,138,260
P17|P4,408,130,278
P13|P9,411,142,269
P11|P5,440,155,285
P15|P5,389,145,244
P17|P2,444,149,295
P1|P16,432,138,294
P3|P7,422,155,267
P2|P3,378,108,270
P12|P13,408,118,290
P10|P8,420,148,272
P6|P8,408,146,262
P4|P7,400,119,281
P16|P8,405,136,269
P12|P3,401,120,281
P1|P4,394,131,263
P2|P9,435,161,274
P11|P4,427,147,280
P3|P5,368,125,243
P10|P4,406,127,279
P14|P17,410,120,290
P1|P18,308,90,218
P12|P18,296,103,193
P18|P3,336,115,221
P15|P18,345,108,237
P11|P18,301,101,200
P10|P18,315,99,216
P17|P18,318,102,216
P13|P18,335,126,209
P18|P4,312,104,208
P18|P7,309,104,205
P18|P2,330,112,218
P18|P9,314,105,209
P18|P5,344,129,215
P14|P18,323,101,222
P18|P6,322,100,222
P18|P8,336,108,228
P16|P18,325,107,218
P19|P3,239,78,161
P19|P9,240,70,170
P1|P19,252,92,160
P19|P2,231,86,145
P16|P19,255,94,161
P19|P8,251,95,156
P18|P19,232,84,148
P19|P5,248,78,170
P13|P19,229,69,160
P12|P19,260,88,172
P10|P19,237,73,164
P15|P19,249,88,161
P17|P19,258,80,178
P19|P6,231,68,163
P19|P7,255,82,173
P11|P19,241,83,158
P14|P19,223,72,151
P19|P4,247,89,158
P2|P20,174,51,123
P11|P20,179,52,127
P20|P8,180,57,123
P19|P20,156,49,107
P13|P20,167,46,121
P20|P3,164,59,105
P12|P20,172,66,106
P20|P5,160,56,104
P16|P20,151,43,108
P10|P20,182,65,117
P20|P7,161,62,99
P20|P6,183,70,113
P1|P20,176,62,114
P18|P20,179,57,122
P20|P9,157,51,106
P17|P20,172,62,110
P14|P20,186,61,125
P20|P4,188,62,126
P15|P20,159,50,109
P21|P3,102,34,68
P16|P21,124,37,87
P10|P21,105,39,66
P12|P21,107,30,77
P21|P7,114,39,75
P11|P21,108,35,73
P14|P21,110,35,75
P21|P4,113,43,70
P2|P21,96,27,69
P13|P21,111,41,70
P21|P6,107,35,72
P1|P21,108,37,71
P17|P21,111,42,69
P19|P21,111,37,74
P21|P9,103,31,72
P20|P21,112,40,72
P21|P8,99,33,66
P21|P5,111,38,73
P18|P21,109,41,68
P15|P21,103,32,71
P13|P22,60,24,36
P17|P22,48,18,30
P22|P5,46,12,34
P21|P22,47,11,36
P22|P3,53,18,35
P2|P22,53,19,34
P12|P22,35,15,20
P20|P22,59,18,41
P11|P22,50,13,37
P22|P7,52,14,38
P18|P22,47,16,31
P19|P22,50,10,40
P1|P22,54,21,33
P15|P22,58,21,37
P16|P22,58,21,37
P22|P6,47,16,31
P22|P4,50,19,31
P10|P22,49,18,31
P22|P8,52,14,38
P14|P22,65,27,38
P22|P9,50,16,34
