batch,simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
1,1,3,4,P10|P14,P5|P7,P13|P3,true
1,2,3,4,P6|P7,P12|P13,P5|P9,true
1,3,9,10,P11|P12,P6|P8,P3|P6,true
1,5,6,7,P14|P9,P1|P3,P10|P5,true
1,6,2,3,P10|P13,P14|P6,P4|P5,true
1,6,2,3,P4|P5,P8|P9,P10|P13,true
1,6,7,8,P1|P4,P11|P12,P14|P3,true
1,10,5,6,P3|P4,P2|P9,P1|P6,true
1,10,5,6,P1|P6,P10|P7,P3|P4,true
1,10,6,7,P14|P7,P10|P8,P13|P9,true
1,11,9,10,P3|P5,P13|P8,P7|P9,true
1,12,6,7,P3|P9,P11|P7,P1|P11,true
1,14,1,2,P1|P8,P11|P3,P2|P9,true
1,15,7,8,P5|P6,P11|P12,P10|P11,true
1,16,9,10,P11|P4,P10|P9,P14|P9,true
1,17,2,3,P14|P7,P10|P9,P13|P2,true
1,17,5,6,P3|P6,P2|P4,P12|P8,true
1,17,6,7,P12|P8,P3|P6,P13|P4,true
1,19,8,9,P11|P4,P3|P7,P8|P9,true
1,20,5,6,P11|P5,P3|P8,P10|P7,true
1,20,8,9,P13|P5,P11|P9,P14|P2,true
1,20,9,10,P3|P4,P7|P8,P11|P2,true
1,23,1,2,P1|P6,P3|P8,P2|P9,true
1,23,3,4,P2|P4,P10|P11,P1|P13,true
1,23,6,7,P13|P9,P1|P8,P1|P10,true
1,24,1,2,P4|P6,P11|P14,P7|P8,true
1,25,7,8,P10|P13,P12|P2,P11|P14,true
1,26,5,6,P2|P4,P12|P13,P11|P8,true
1,27,9,10,P13|P8,P11|P12,P11|P14,true
1,28,5,6,P10|P8,P4|P9,P2|P9,true
1,29,3,4,P1|P2,P11|P12,P8|P9,true
1,30,8,9,P14|P9,P11|P2,P12|P6,true
1,31,1,2,P12|P8,P1|P2,P1|P9,true
1,31,7,8,P1|P3,P2|P7,P7|P9,true
1,32,2,3,P2|P5,P10|P8,P1|P4,true
1,33,9,10,P12|P5,P13|P6,P10|P14,true
1,34,2,3,P11|P9,P4|P8,P13|P7,true
1,35,9,10,P10|P9,P11|P2,P4|P6,true
1,38,3,4,P11|P7,P1|P14,P6|P8,true
1,40,9,10,P10|P14,P4|P8,P13|P7,true
1,41,3,4,P1|P8,P14|P3,P10|P5,true
1,42,2,3,P6|P9,P4|P7,P12|P3,true
1,43,9,10,P11|P5,P2|P8,P14|P8,true
1,44,4,5,P4|P6,P1|P9,P11|P8,true
1,44,6,7,P12|P14,P13|P8,P11|P5,true
1,44,9,10,P1|P11,P14|P8,P13|P14,true
1,45,3,4,P10|P11,P12|P3,P2|P4,true
1,46,7,8,P12|P2,P3|P8,P4|P9,true
1,48,2,3,P3|P5,P12|P13,P14|P4,true
1,48,2,3,P6|P7,P1|P2,P11|P2,true
1,48,6,7,P10|P6,P5|P7,P13|P9,true
1,49,2,3,P11|P9,P2|P5,P13|P5,true
1,49,8,9,P11|P14,P4|P9,P4|P6,true
1,49,8,9,P1|P2,P13|P3,P12|P8,true
1,49,9,10,P11|P14,P4|P6,P1|P7,true
1,50,8,9,P10|P14,P4|P7,P5|P9,true
1,50,9,10,P5|P9,P10|P14,P10|P13,true
1,52,5,6,P4|P8,P11|P7,P10|P12,true
1,53,6,7,P1|P10,P2|P4,P3|P4,true
1,54,2,3,P1|P3,P8|P9,P13|P14,true
1,55,7,8,P10|P14,P5|P7,P1|P13,true
1,56,5,6,P13|P2,P5|P9,P6|P8,true
1,57,5,6,P3|P8,P11|P13,P12|P14,true
1,57,5,6,P5|P7,P14|P2,P13|P4,true
1,57,6,7,P2|P6,P10|P9,P1|P12,true
1,59,7,8,P11|P7,P4|P9,P10|P14,true
1,60,2,3,P13|P7,P2|P5,P10|P8,true
1,60,9,10,P12|P2,P11|P3,P10|P11,true
1,62,8,9,P1|P4,P10|P5,P13|P9,true
1,63,9,10,P2|P6,P11|P4,P10|P14,true
1,64,8,9,P13|P7,P3|P8,P10|P14,true
1,65,4,5,P13|P5,P14|P4,P6|P9,true
1,66,7,8,P4|P8,P2|P6,P1|P7,true
1,66,7,8,P2|P6,P4|P8,P11|P5,true
1,67,2,3,P3|P5,P14|P2,P11|P2,true
1,67,8,9,P11|P4,P13|P2,P1|P5,true
1,68,8,9,P13|P8,P12|P9,P3|P7,true
1,70,9,10,P1|P2,P4|P6,P13|P3,true
1,72,2,3,P13|P4,P10|P12,P2|P7,true
1,74,7,8,P6|P9,P3|P7,P12|P7,true
1,75,3,4,P14|P6,P8|P9,P13|P4,true
1,75,5,6,P13|P14,P11|P12,P1|P10,true
1,76,3,4,P2|P3,P1|P12,P14|P9,true
1,77,1,2,P3|P9,P13|P5,P7|P8,true
1,77,2,3,P2|P6,P14|P5,P11|P9,true
1,77,2,3,P13|P4,P11|P12,P1|P3,true
1,78,7,8,P4|P6,P7|P8,P10|P13,true
1,79,6,7,P10|P9,P2|P4,P11|P7,true
1,79,7,8,P11|P7,P10|P9,P13|P14,true
1,80,4,5,P11|P6,P2|P9,P4|P8,true
1,80,5,6,P13|P3,P1|P9,P7|P9,true
1,80,6,7,P13|P3,P7|P9,P12|P8,true
1,83,1,2,P10|P2,P13|P14,P1|P4,true
1,83,1,2,P6|P8,P7|P9,P12|P3,true
1,83,1,2,P12|P3,P11|P5,P6|P8,true
1,83,7,8,P10|P7,P2|P3,P12|P6,true
1,84,4,5,P10|P7,P12|P4,P13|P9,true
1,85,1,2,P2|P5,P6|P7,P10|P14,true
1,87,8,9,P10|P6,P11|P12,P8|P9,true
1,88,6,7,P11|P9,P10|P3,P14|P2,true
1,88,6,7,P14|P2,P5|P6,P11|P9,true
1,88,8,9,P3|P7,P11|P14,P1|P5,true
1,88,9,10,P14|P2,P13|P9,P11|P5,true
1,89,8,9,P11|P13,P10|P3,P1|P5,true
1,91,9,10,P14|P3,P6|P8,P11|P9,true
1,91,9,10,P1|P7,P13|P2,P10|P8,true
1,92,4,5,P14|P7,P1|P12,P11|P3,true
1,92,6,7,P6|P8,P10|P11,P10|P2,true
1,92,9,10,P3|P8,P14|P9,P10|P5,true
1,96,1,2,P1|P2,P12|P9,P13|P8,true
1,96,8,9,P11|P3,P10|P6,P13|P4,true
1,97,7,8,P12|P9,P1|P14,P13|P2,true
1,98,9,10,P4|P9,P14|P3,P12|P13,true
1,98,9,10,P12|P13,P10|P8,P4|P9,true
1,100,5,6,P10|P6,P11|P12,P4|P7,true
1,101,5,6,P4|P7,P14|P6,P2|P5,true
1,101,6,7,P4|P7,P2|P5,P10|P11,true
1,102,9,10,P11|P6,P2|P8,P12|P4,true
1,103,4,5,P11|P12,P8|P9,P5|P6,true
1,104,5,6,P2|P8,P13|P6,P1|P5,true
1,104,8,9,P12|P7,P1|P13,P2|P3,true
1,104,8,9,P14|P4,P2|P9,P1|P10,true
1,106,2,3,P13|P2,P12|P3,P1|P14,true
1,106,5,6,P4|P7,P13|P14,P3|P9,true
1,107,6,7,P10|P4,P11|P2,P5|P7,true
1,108,5,6,P13|P14,P3|P7,P11|P4,true
1,108,7,8,P12|P13,P14|P9,P6|P7,true
1,109,7,8,P13|P7,P10|P14,P14|P5,true
1,110,6,7,P10|P11,P14|P2,P4|P5,true
1,110,9,10,P12|P2,P10|P11,P4|P9,true
1,112,2,3,P1|P4,P3|P9,P13|P5,true
1,112,2,3,P13|P5,P11|P14,P1|P4,true
1,113,3,4,P2|P8,P6|P7,P10|P12,true
1,116,1,2,P4|P5,P11|P3,P14|P6,true
1,116,2,3,P4|P5,P14|P6,P2|P6,true
1,117,5,6,P12|P13,P3|P6,P14|P3,true
1,117,6,7,P14|P3,P12|P13,P6|P9,true
1,120,5,6,P1|P5,P12|P9,P11|P14,true
1,121,4,5,P3|P9,P11|P6,P12|P7,true
1,121,4,5,P11|P6,P3|P9,P13|P14,true
1,121,4,5,P13|P14,P1|P2,P11|P6,true
1,121,6,7,P5|P8,P13|P6,P12|P9,true
1,121,7,8,P14|P4,P11|P7,P5|P7,true
1,122,7,8,P3|P9,P13|P4,P12|P4,true
1,123,7,8,P13|P14,P6|P9,P11|P6,true
1,124,2,3,P1|P14,P10|P5,P2|P6,true
1,125,7,8,P14|P9,P10|P12,P11|P13,true
1,126,8,9,P10|P14,P13|P5,P11|P4,true
1,126,9,10,P13|P8,P1|P9,P2|P4,true
1,127,7,8,P13|P3,P12|P7,P12|P4,true
1,128,9,10,P11|P14,P1|P9,P12|P4,true
1,129,3,4,P11|P5,P1|P12,P10|P4,true
1,129,4,5,P11|P5,P10|P4,P13|P2,true
1,129,7,8,P6|P8,P13|P4,P10|P12,true
1,130,3,4,P14|P2,P1|P7,P11|P5,true
1,131,1,2,P10|P7,P13|P6,P11|P9,true
1,132,3,4,P8|P9,P11|P7,P1|P4,true
1,132,3,4,P14|P5,P1|P3,P2|P7,true
1,132,7,8,P2|P4,P3|P6,P12|P9,true
1,133,2,3,P1|P5,P7|P9,P12|P4,true
1,133,5,6,P13|P5,P1|P11,P10|P7,true
1,134,7,8,P10|P3,P11|P7,P12|P9,true
1,135,3,4,P3|P8,P11|P13,P4|P6,true
1,135,7,8,P3|P5,P6|P9,P2|P6,true
1,138,5,6,P10|P5,P2|P8,P12|P7,true
1,138,8,9,P10|P4,P14|P8,P14|P7,true
1,139,5,6,P8|P9,P13|P4,P2|P7,true
1,139,7,8,P10|P7,P14|P3,P1|P13,true
1,140,7,8,P11|P14,P3|P7,P1|P5,true
1,140,7,8,P1|P5,P13|P2,P11|P14,true
1,140,8,9,P6|P9,P13|P8,P10|P7,true
1,141,5,6,P10|P6,P12|P9,P1|P13,true
1,141,6,7,P7|P9,P14|P8,P13|P4,true
1,142,7,8,P14|P7,P3|P9,P11|P6,true
1,142,7,8,P13|P5,P1|P4,P2|P4,true
1,143,2,3,P3|P7,P11|P14,P1|P11,true
1,145,1,2,P4|P8,P5|P9,P10|P14,true
1,146,9,10,P4|P6,P3|P5,P12|P2,true
1,148,7,8,P3|P6,P1|P12,P12|P8,true
1,149,5,6,P1|P11,P7|P9,P13|P3,true
1,149,9,10,P1|P12,P10|P8,P13|P6,true
1,151,3,4,P5|P9,P1|P6,P13|P7,true
1,152,4,5,P1|P8,P11|P12,P12|P13,true
1,152,7,8,P11|P4,P13|P6,P1|P8,true
1,153,4,5,P5|P7,P1|P10,P14|P2,true
1,154,6,7,P1|P2,P5|P7,P4|P7,true
1,154,9,10,P11|P2,P10|P13,P5|P8,true
1,155,3,4,P5|P6,P12|P13,P3|P9,true
1,157,5,6,P4|P8,P1|P7,P10|P11,true
1,157,6,7,P4|P8,P10|P11,P11|P13,true
1,157,8,9,P11|P8,P12|P3,P13|P14,true
1,157,9,10,P4|P9,P12|P2,P1|P14,true
1,157,9,10,P5|P7,P1|P10,P12|P8,true
1,158,9,10,P4|P7,P14|P5,P11|P3,true
1,159,8,9,P12|P4,P1|P9,P10|P6,true
1,160,3,4,P4|P6,P3|P9,P2|P5,true
1,160,6,7,P12|P13,P4|P9,P1|P3,true
1,161,6,7,P1|P8,P10|P13,P3|P6,true
1,161,9,10,P14|P2,P11|P5,P4|P8,true
1,162,3,4,P5|P9,P12|P13,P4|P6,true
1,162,5,6,P10|P7,P12|P8,P2|P8,true
1,163,5,6,P4|P5,P14|P2,P12|P7,true
1,164,3,4,P12|P8,P2|P7,P11|P3,true
1,164,7,8,P2|P7,P3|P4,P12|P4,true
1,165,4,5,P4|P7,P1|P5,P13|P6,true
1,167,8,9,P11|P13,P4|P8,P2|P5,true
1,168,7,8,P2|P6,P12|P4,P10|P7,true
1,168,7,8,P10|P7,P11|P13,P2|P6,true
1,169,6,7,P1|P14,P12|P5,P11|P7,true
1,169,6,7,P11|P7,P3|P9,P1|P14,true
1,169,9,10,P2|P6,P11|P5,P1|P3,true
1,172,9,10,P13|P2,P14|P5,P10|P6,true
1,173,6,7,P2|P7,P13|P3,P11|P9,true
1,174,5,6,P10|P4,P14|P2,P5|P8,true
1,174,7,8,P5|P6,P13|P8,P12|P14,true
1,176,4,5,P14|P6,P12|P2,P1|P5,true
1,180,7,8,P1|P6,P2|P9,P12|P3,true
1,181,2,3,P13|P3,P10|P4,P1|P8,true
1,181,4,5,P10|P8,P11|P2,P1|P7,true
1,182,5,6,P1|P5,P14|P9,P3|P8,true
1,182,9,10,P1|P5,P12|P4,P12|P9,true
1,184,5,6,P5|P6,P1|P7,P12|P9,true
1,185,1,2,P12|P14,P2|P8,P11|P5,true
1,185,1,2,P11|P5,P10|P7,P12|P14,true
1,186,8,9,P10|P4,P2|P7,P12|P5,true
1,187,9,10,P11|P3,P14|P7,P14|P8,true
1,189,1,2,P1|P8,P12|P4,P2|P9,true
1,190,7,8,P11|P5,P1|P14,P1|P4,true
