playerId,level,totalWins,totalLosses,gamesPlayed
P1,1,71566,128434,200000
P2,1,71185,128815,200000
P3,2,85658,114342,200000
P4,2,85976,114024,200000
P5,2,85390,114610,200000
P6,2,85988,114012,200000
P7,2,85275,114725,200000
P8,3,100514,99486,200000
P9,3,99637,100363,200000
P10,3,99964,100036,200000
P11,3,99825,100175,200000
P12,3,99786,100214,200000
P13,3,100286,99714,200000
P14,4,114639,85361,200000
P15,4,114354,85646,200000
P16,4,114037,85963,200000
P17,4,114660,85340,200000
P18,4,113745,86255,200000
P19,5,128671,71329,200000
P20,5,128844,71156,200000
