simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
3,6,7,P20|P3,P14|P19,P18|P8,true
4,8,9,P11|P4,P15|P16,P18|P9,true
4,8,9,P1|P6,P12|P5,P10|P20,true
4,8,9,P12|P5,P1|P6,P14|P15,true
5,5,6,P4|P7,P18|P9,P1|P5,true
6,7,8,P15|P8,P10|P13,P20|P5,true
8,4,5,P1|P5,P15|P7,P10|P14,true
8,5,6,P2|P6,P15|P8,P12|P5,true
8,8,9,P10|P6,P16|P18,P19|P7,true
9,5,6,P1|P15,P3|P9,P10|P3,true
11,8,9,P15|P5,P12|P13,P16|P20,true
11,9,10,P6|P7,P13|P14,P1|P12,true
12,8,9,P20|P8,P14|P18,P4|P5,true
15,4,5,P13|P7,P14|P4,P20|P6,true
17,4,5,P15|P9,P19|P3,P1|P6,true
17,8,9,P13|P20,P19|P5,P15|P17,true
18,7,8,P4|P6,P12|P19,P16|P17,true
20,8,9,P13|P2,P19|P9,P16|P6,true
21,6,7,P1|P7,P17|P6,P3|P4,true
22,7,8,P4|P6,P17|P5,P10|P13,true
24,6,7,P12|P5,P6|P7,P10|P11,true
25,5,6,P11|P17,P16|P20,P15|P5,true
25,5,6,P15|P5,P6|P9,P11|P17,true
25,6,7,P13|P19,P12|P6,P4|P5,true
25,9,10,P14|P6,P17|P2,P12|P17,true
28,9,10,P16|P17,P10|P14,P2|P8,true
31,5,6,P16|P7,P17|P4,P15|P2,true
31,9,10,P3|P4,P6|P7,P20|P8,true
32,7,8,P14|P16,P18|P3,P2|P9,true
33,5,6,P1|P3,P20|P6,P15|P9,true
34,7,8,P16|P19,P15|P9,P10|P2,true
35,7,8,P10|P15,P13|P3,P11|P14,true
37,3,4,P19|P9,P2|P8,P17|P5,true
37,3,4,P17|P5,P18|P3,P19|P9,true
39,8,9,P10|P3,P11|P14,P4|P9,true
40,6,7,P10|P3,P2|P4,P11|P20,true
42,6,7,P13|P20,P10|P12,P19|P5,true
43,4,5,P17|P18,P10|P19,P11|P9,true
46,6,7,P12|P18,P20|P4,P15|P6,true
47,5,6,P17|P9,P12|P15,P14|P6,true
48,4,5,P11|P12,P20|P7,P18|P5,true
48,5,6,P11|P12,P18|P5,P13|P2,true
49,5,6,P20|P6,P17|P3,P7|P8,true
49,8,9,P20|P9,P15|P16,P10|P19,true
49,9,10,P13|P6,P1|P2,P18|P4,true
50,5,6,P2|P8,P16|P5,P20|P6,true
53,5,6,P3|P8,P16|P20,P17|P9,true
53,7,8,P2|P8,P11|P14,P15|P6,true
54,7,8,P11|P12,P2|P8,P3|P5,true
54,9,10,P16|P5,P13|P3,P14|P18,true
55,8,9,P4|P8,P15|P17,P10|P14,true
56,6,7,P15|P5,P11|P7,P12|P6,true
57,6,7,P3|P8,P13|P16,P10|P2,true
57,6,7,P13|P16,P3|P8,P1|P20,true
58,7,8,P2|P3,P1|P6,P12|P13,true
58,9,10,P13|P6,P16|P9,P11|P8,true
58,9,10,P12|P5,P15|P18,P1|P9,true
59,5,6,P11|P3,P2|P7,P15|P6,true
65,8,9,P1|P17,P20|P6,P16|P4,true
