simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
2,4,5,P12|P7,P18|P19,P17|P4,true
4,5,6,P15|P8,P10|P12,P16|P20,true
5,3,4,P2|P5,P1|P4,P3|P6,true
6,9,10,P1|P10,P15|P18,P2|P6,true
7,5,6,P19|P4,P15|P5,P1|P8,true
10,5,6,P11|P7,P2|P8,P1|P16,true
12,4,5,P16|P9,P5|P7,P12|P6,true
12,7,8,P19|P4,P10|P3,P15|P18,true
13,8,9,P11|P6,P20|P3,P20|P9,true
13,9,10,P15|P5,P10|P16,P13|P14,true
14,6,7,P16|P7,P18|P4,P3|P6,true
15,6,7,P1|P7,P14|P9,P10|P6,true
15,7,8,P14|P8,P17|P18,P5|P9,true
15,8,9,P3|P6,P15|P17,P2|P5,true
16,5,6,P11|P15,P1|P5,P13|P14,true
20,6,7,P6|P9,P12|P16,P19|P5,true
21,5,6,P18|P2,P10|P9,P12|P6,true
21,6,7,P15|P4,P14|P19,P10|P16,true
21,9,10,P1|P13,P15|P17,P2|P20,true
21,9,10,P10|P19,P12|P18,P16|P6,true
22,2,3,P4|P5,P3|P7,P10|P19,true
26,4,5,P6|P7,P17|P18,P15|P20,true
29,4,5,P1|P9,P14|P4,P15|P4,true
31,4,5,P12|P8,P11|P9,P15|P3,true
31,5,6,P1|P11,P2|P9,P16|P17,true
35,4,5,P16|P20,P18|P8,P3|P9,true
35,6,7,P7|P8,P16|P9,P10|P11,true
36,6,7,P16|P18,P10|P12,P11|P5,true
38,7,8,P12|P20,P18|P19,P14|P18,true
38,9,10,P14|P8,P1|P17,P10|P5,true
39,6,7,P13|P2,P12|P18,P17|P9,true
40,4,5,P15|P5,P18|P3,P2|P7,true
41,6,7,P13|P4,P2|P8,P16|P20,true
41,7,8,P12|P19,P14|P9,P1|P8,true
41,7,8,P1|P8,P15|P5,P12|P19,true
42,6,7,P17|P20,P10|P11,P16|P9,true
43,8,9,P10|P2,P6|P8,P15|P4,true
43,9,10,P15|P4,P10|P2,P1|P19,true
45,5,6,P10|P11,P18|P6,P19|P8,true
