simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged,batch
2,7,8,P20|P9,P4|P7,P17|P19,true,1
2,7,8,P17|P19,P11|P14,P20|P9,true,1
2,9,10,P11|P2,P1|P9,P1|P12,true,1
4,5,6,P12|P3,P15|P6,P14|P20,true,1
4,5,6,P10|P9,P5|P7,P11|P16,true,1
4,7,8,P18|P8,P12|P16,P20|P5,true,1
6,8,9,P11|P6,P17|P8,P10|P9,true,1
8,3,4,P19|P3,P1|P20,P13|P2,true,1
8,6,7,P19|P6,P10|P12,P11|P3,true,1
9,9,10,P2|P8,P15|P20,P7|P9,true,1
12,4,5,P11|P7,P1|P9,P10|P3,true,1
12,7,8,P1|P11,P14|P2,P12|P18,true,1
15,5,6,P14|P4,P16|P5,P10|P20,true,1
20,4,5,P4|P9,P11|P7,P14|P6,true,1
20,6,7,P15|P18,P10|P9,P1|P3,true,1
20,8,9,P16|P2,P18|P20,P12|P14,true,1
21,6,7,P17|P6,P10|P19,P20|P3,true,1
22,5,6,P13|P16,P2|P6,P17|P19,true,1
23,8,9,P18|P19,P11|P12,P17|P7,true,1
24,4,5,P17|P4,P14|P3,P1|P9,true,1
24,8,9,P12|P19,P1|P9,P7|P8,true,1
25,6,7,P13|P19,P20|P5,P10|P9,true,1
26,7,8,P12|P7,P11|P18,P17|P20,true,1
27,9,10,P14|P3,P13|P16,P12|P5,true,1
28,5,6,P12|P19,P18|P6,P16|P2,true,1
28,8,9,P14|P16,P1|P10,P20|P3,true,1
30,2,3,P14|P19,P2|P6,P1|P17,true,1
31,5,6,P12|P7,P18|P2,P10|P11,true,1
35,3,4,P3|P4,P14|P20,P17|P2,true,1
35,6,7,P17|P8,P14|P16,P13|P5,true,1
35,7,8,P12|P14,P10|P18,P13|P20,true,1
36,6,7,P11|P18,P2|P7,P13|P4,true,1
36,9,10,P20|P3,P11|P9,P11|P13,true,1
38,5,6,P17|P7,P14|P20,P14|P19,true,1
38,6,7,P11|P5,P2|P4,P17|P9,true,1
38,8,9,P14|P9,P16|P19,P1|P12,true,1
42,7,8,P15|P18,P10|P20,P11|P7,true,1
46,9,10,P15|P4,P7|P8,P14|P6,true,1
49,6,7,P11|P9,P15|P8,P13|P18,true,1
50,2,3,P11|P15,P13|P16,P10|P17,true,1
51,5,6,P10|P11,P2|P5,P13|P17,true,1
51,5,6,P18|P4,P14|P7,P20|P8,true,1
52,4,5,P8|P9,P20|P5,P19|P2,true,1
52,5,6,P15|P7,P5|P6,P12|P13,true,1
52,5,6,P10|P14,P3|P4,P17|P9,true,1
53,6,7,P10|P17,P5|P9,P14|P18,true,1
53,8,9,P20|P4,P14|P3,P6|P8,true,1
55,5,6,P14|P20,P12|P9,P13|P19,true,1
61,6,7,P15|P19,P1|P9,P18|P8,true,1
61,9,10,P1|P2,P14|P8,P12|P18,true,1
61,9,10,P4|P5,P19|P20,P11|P9,true,1
63,7,8,P11|P13,P17|P5,P7|P9,true,1
65,2,3,P1|P8,P11|P2,P10|P15,true,1
67,8,9,P4|P7,P19|P20,P1|P2,true,1
71,9,10,P19|P5,P16|P18,P11|P13,true,1
72,5,6,P4|P8,P12|P15,P1|P13,true,1
72,7,8,P14|P20,P11|P17,P3|P6,true,1
73,5,6,P13|P6,P11|P15,P10|P16,true,1
76,3,4,P17|P19,P1|P13,P3|P5,true,1
79,7,8,P17|P8,P15|P18,P13|P7,true,1
79,9,10,P20|P3,P14|P19,P13|P4,true,1
80,7,8,P12|P13,P1|P4,P14|P18,true,1
80,9,10,P20|P5,P4|P6,P11|P12,true,1
82,3,4,P16|P17,P1|P12,P6|P9,true,1
82,7,8,P10|P17,P18|P5,P13|P14,true,1
87,9,10,P10|P2,P19|P20,P6|P8,true,1
89,9,10,P18|P7,P3|P9,P5|P6,true,1
90,6,7,P14|P7,P11|P17,P1|P6,true,1
90,7,8,P13|P19,P18|P5,P14|P9,true,1
91,7,8,P10|P7,P16|P19,P2|P4,true,1
93,5,6,P11|P15,P18|P2,P14|P17,true,1
96,4,5,P1|P13,P11|P16,P18|P2,true,1
99,8,9,P17|P2,P20|P3,P10|P14,true,1
101,5,6,P20|P5,P1|P18,P4|P6,true,1
102,4,5,P1|P19,P13|P7,P10|P9,true,1
102,5,6,P2|P8,P12|P17,P19|P4,true,1
102,6,7,P12|P5,P14|P6,P11|P2,true,1
103,4,5,P20|P8,P2|P3,P11|P4,true,1
104,5,6,P11|P16,P1|P7,P10|P9,true,1
104,8,9,P19|P3,P20|P8,P1|P10,true,1
104,9,10,P16|P5,P4|P7,P3|P8,true,1
105,4,5,P16|P18,P1|P13,P20|P7,true,1
106,6,7,P10|P12,P17|P19,P7|P8,true,1
106,7,8,P14|P5,P15|P3,P2|P9,true,1
107,6,7,P15|P2,P18|P20,P10|P14,true,1
107,9,10,P13|P9,P15|P8,P18|P5,true,1
109,6,7,P12|P6,P1|P20,P19|P3,true,1
109,8,9,P15|P7,P14|P19,P4|P5,true,1
111,5,6,P13|P7,P10|P4,P11|P16,true,1
113,8,9,P10|P17,P11|P15,P5|P8,true,1
115,3,4,P11|P5,P15|P18,P20|P3,true,1
115,5,6,P3|P4,P1|P16,P20|P7,true,1
115,9,10,P12|P6,P3|P5,P7|P8,true,1
119,6,7,P11|P5,P20|P3,P14|P17,true,1
119,9,10,P6|P9,P10|P4,P2|P3,true,1
121,8,9,P2|P3,P12|P16,P17|P6,true,1
122,6,7,P10|P9,P16|P2,P19|P4,true,1
125,5,6,P3|P6,P17|P5,P15|P19,true,1
125,8,9,P10|P20,P11|P16,P18|P8,true,1
125,8,9,P11|P16,P10|P20,P17|P3,true,1
127,5,6,P10|P6,P14|P7,P13|P17,true,1
128,2,3,P18|P19,P11|P12,P10|P8,true,1
130,7,8,P7|P9,P3|P6,P10|P20,true,1
130,7,8,P18|P5,P12|P13,P15|P16,true,1
130,8,9,P12|P6,P1|P14,P15|P19,true,1
132,3,4,P13|P6,P3|P9,P17|P20,true,1
132,8,9,P1|P20,P17|P5,P11|P14,true,1
133,9,10,P1|P2,P16|P3,P13|P18,true,1
134,5,6,P1|P9,P13|P8,P10|P14,true,1
136,9,10,P5|P7,P11|P3,P2|P3,true,1
138,3,4,P8|P9,P13|P7,P1|P5,true,1
139,6,7,P19|P7,P4|P5,P10|P9,true,1
139,8,9,P15|P9,P1|P19,P11|P6,true,1
142,5,6,P20|P4,P1|P19,P15|P6,true,1
143,5,6,P1|P10,P13|P14,P15|P18,true,1
143,9,10,P4|P7,P13|P17,P10|P3,true,1
143,9,10,P10|P3,P15|P5,P4|P7,true,1
144,4,5,P14|P4,P2|P20,P6|P9,true,1
146,8,9,P12|P19,P2|P6,P3|P4,true,1
147,3,4,P13|P17,P19|P5,P8|P9,true,1
147,5,6,P19|P6,P14|P16,P10|P8,true,1
147,5,6,P10|P8,P2|P20,P19|P6,true,1
149,6,7,P5|P6,P17|P20,P12|P9,true,1
149,8,9,P1|P2,P18|P20,P11|P19,true,1
149,9,10,P5|P7,P15|P4,P19|P8,true,1
151,7,8,P16|P20,P19|P6,P11|P4,true,1
151,8,9,P13|P9,P3|P5,P18|P3,true,1
153,8,9,P12|P19,P18|P6,P1|P15,true,1
154,8,9,P19|P2,P3|P8,P13|P16,true,1
158,8,9,P14|P19,P16|P2,P3|P8,true,1
159,9,10,P10|P7,P4|P5,P12|P15,true,1
162,6,7,P8|P9,P11|P20,P18|P3,true,1
162,8,9,P14|P15,P13|P3,P1|P12,true,1
165,6,7,P12|P19,P3|P9,P1|P9,true,1
169,3,4,P7|P9,P1|P12,P20|P5,true,1
171,3,4,P15|P20,P4|P5,P10|P12,true,1
171,7,8,P20|P9,P19|P2,P15|P19,true,1
175,3,4,P15|P20,P14|P3,P13|P6,true,1
177,7,8,P3|P4,P13|P19,P17|P20,true,1
177,8,9,P2|P9,P12|P16,P10|P4,true,1
179,5,6,P1|P19,P12|P20,P13|P2,true,1
181,3,4,P1|P10,P16|P8,P12|P2,true,1
181,7,8,P10|P14,P13|P6,P3|P5,true,1
182,7,8,P15|P5,P10|P16,P12|P6,true,1
182,9,10,P3|P4,P13|P18,P1|P2,true,1
183,6,7,P5|P9,P11|P16,P16|P7,true,1
184,5,6,P3|P5,P12|P17,P14|P8,true,1
184,5,6,P12|P17,P3|P5,P4|P6,true,1
184,7,8,P18|P7,P14|P15,P12|P3,true,1
187,5,6,P1|P2,P18|P6,P11|P7,true,1
187,8,9,P1|P16,P2|P4,P11|P17,true,1
189,8,9,P14|P18,P3|P7,P20|P4,true,1
190,7,8,P20|P3,P15|P5,P17|P19,true,1
194,7,8,P13|P4,P16|P17,P15|P20,true,1
195,7,8,P10|P16,P18|P2,P11|P3,true,1
195,7,8,P1|P14,P15|P8,P18|P9,true,1
196,9,10,P20|P8,P1|P2,P4|P7,true,1
196,9,10,P11|P5,P19|P7,P16|P17,true,1
198,8,9,P10|P5,P14|P16,P18|P2,true,1
200,8,9,P8|P9,P15|P6,P12|P20,true,1
202,6,7,P7|P9,P15|P5,P1|P6,true,1
202,9,10,P13|P2,P5|P6,P12|P8,true,1
202,9,10,P10|P4,P1|P7,P19|P9,true,1
206,8,9,P1|P2,P13|P5,P10|P7,true,1
207,4,5,P14|P8,P11|P17,P12|P19,true,1
208,6,7,P11|P12,P17|P4,P1|P2,true,1
210,6,7,P17|P9,P12|P18,P2|P20,true,1
211,7,8,P12|P7,P13|P20,P17|P18,true,1
213,3,4,P10|P6,P11|P12,P15|P5,true,1
213,7,8,P13|P17,P6|P9,P11|P19,true,1
215,9,10,P19|P3,P2|P7,P10|P5,true,1
216,4,5,P10|P7,P11|P15,P14|P4,true,1
217,5,6,P2|P5,P12|P13,P3|P4,true,1
219,7,8,P11|P18,P14|P6,P12|P9,true,1
220,6,7,P5|P6,P14|P7,P13|P20,true,1
220,7,8,P11|P2,P3|P7,P1|P20,true,1
221,8,9,P7|P8,P18|P4,P10|P17,true,1
222,5,6,P16|P9,P4|P5,P15|P8,true,1
223,8,9,P3|P9,P13|P4,P14|P15,true,1
223,8,9,P13|P4,P3|P9,P18|P7,true,1
226,7,8,P1|P19,P13|P7,P17|P3,true,1
227,8,9,P15|P6,P12|P3,P2|P9,true,1
228,4,5,P1|P5,P6|P7,P11|P14,true,1
228,7,8,P16|P6,P15|P3,P10|P8,true,1
229,8,9,P19|P20,P1|P13,P1|P12,true,1
231,5,6,P20|P7,P11|P8,P13|P2,true,1
235,3,4,P3|P4,P14|P17,P18|P20,true,1
235,6,7,P6|P8,P2|P5,P18|P7,true,1
236,5,6,P2|P6,P13|P19,P11|P4,true,1
236,5,6,P14|P5,P15|P17,P19|P9,true,1
238,7,8,P5|P8,P14|P2,P15|P6,true,1
238,8,9,P1|P2,P13|P16,P12|P18,true,1
239,7,8,P12|P14,P15|P2,P11|P17,true,1
239,9,10,P18|P7,P11|P16,P1|P13,true,1
240,7,8,P4|P6,P12|P19,P10|P13,true,1
242,4,5,P11|P2,P3|P5,P4|P7,true,1
242,6,7,P13|P14,P15|P17,P11|P12,true,1
243,5,6,P14|P9,P11|P12,P1|P4,true,1
246,4,5,P12|P13,P3|P7,P14|P5,true,1
247,5,6,P2|P7,P12|P15,P11|P5,true,1
248,9,10,P12|P6,P16|P7,P7|P9,true,1
249,8,9,P10|P8,P14|P15,P18|P2,true,1
249,9,10,P11|P5,P16|P9,P10|P19,true,1
251,9,10,P1|P19,P13|P2,P8|P9,true,1
252,8,9,P1|P17,P14|P8,P10|P12,true,1
253,9,10,P13|P7,P15|P18,P11|P2,true,1
253,9,10,P11|P2,P12|P19,P13|P7,true,1
254,5,6,P18|P8,P19|P20,P14|P5,true,1
256,8,9,P13|P6,P2|P3,P1|P4,true,1
259,5,6,P16|P4,P18|P9,P13|P3,true,1
259,5,6,P13|P3,P1|P19,P16|P4,true,1
259,8,9,P11|P19,P12|P8,P18|P7,true,1
260,7,8,P10|P12,P15|P16,P14|P8,true,1
261,9,10,P12|P2,P15|P20,P1|P5,true,1
262,5,6,P5|P7,P10|P11,P12|P20,true,1
264,3,4,P19|P2,P20|P3,P15|P5,true,1
264,4,5,P12|P6,P1|P4,P17|P5,true,1
264,9,10,P16|P5,P10|P12,P17|P18,true,1
265,9,10,P1|P9,P13|P7,P11|P8,true,1
266,9,10,P4|P6,P16|P2,P20|P3,true,1
267,8,9,P10|P12,P19|P8,P11|P3,true,1
268,5,6,P15|P3,P18|P9,P19|P5,true,1
269,7,8,P16|P7,P15|P6,P11|P17,true,1
269,8,9,P11|P17,P16|P7,P12|P3,true,1
270,8,9,P17|P19,P4|P7,P10|P13,true,1
272,6,7,P17|P19,P12|P18,P6|P8,true,1
274,4,5,P1|P15,P12|P13,P3|P6,true,1
274,4,5,P11|P4,P16|P5,P17|P9,true,1
275,5,6,P6|P9,P16|P2,P11|P7,true,1
275,7,8,P13|P16,P4|P5,P11|P2,true,1
276,7,8,P16|P17,P1|P7,P11|P8,true,1
276,9,10,P1|P5,P4|P9,P10|P15,true,1
278,6,7,P1|P9,P17|P6,P19|P2,true,1
279,6,7,P12|P9,P19|P8,P11|P6,true,1
281,5,6,P2|P9,P5|P7,P12|P3,true,1
283,9,10,P12|P8,P1|P18,P19|P20,true,1
284,5,6,P11|P17,P4|P8,P19|P2,true,1
284,5,6,P14|P5,P12|P16,P1|P6,true,1
288,5,6,P13|P19,P12|P17,P3|P5,true,1
292,9,10,P13|P3,P11|P4,P5|P6,true,1
293,7,8,P13|P9,P18|P7,P16|P4,true,1
295,4,5,P11|P3,P12|P2,P13|P6,true,1
295,9,10,P5|P8,P14|P20,P13|P7,true,1
300,6,7,P11|P12,P14|P6,P13|P19,true,1
300,9,10,P1|P3,P19|P6,P17|P18,true,1
302,8,9,P17|P3,P16|P20,P15|P6,true,1
302,9,10,P1|P19,P14|P2,P4|P9,true,1
304,9,10,P2|P6,P13|P18,P12|P3,true,1
304,9,10,P12|P3,P10|P7,P2|P6,true,1
305,6,7,P14|P16,P19|P3,P18|P6,true,1
308,7,8,P7|P8,P5|P9,P17|P4,true,1
311,4,5,P10|P2,P6|P9,P15|P7,true,1
311,9,10,P18|P8,P1|P10,P15|P3,true,1
312,5,6,P16|P6,P1|P20,P15|P4,true,1
313,4,5,P14|P7,P1|P13,P6|P9,true,1
315,6,7,P16|P7,P13|P9,P13|P8,true,1
316,9,10,P4|P6,P1|P2,P19|P8,true,1
317,7,8,P15|P8,P1|P5,P14|P20,true,1
319,5,6,P10|P12,P5|P9,P15|P19,true,1
320,9,10,P10|P3,P15|P5,P5|P6,true,1
321,7,8,P18|P20,P2|P6,P10|P12,true,1
323,7,8,P15|P17,P2|P20,P1|P14,true,1
324,4,5,P15|P3,P13|P8,P10|P4,true,1
325,8,9,P1|P2,P18|P6,P19|P5,true,1
326,8,9,P10|P17,P18|P8,P11|P2,true,1
329,6,7,P1|P10,P13|P2,P14|P8,true,1
329,8,9,P11|P17,P10|P13,P12|P8,true,1
330,5,6,P8|P9,P20|P7,P11|P18,true,1
332,3,4,P10|P11,P12|P13,P1|P14,true,1
332,3,4,P3|P4,P5|P6,P15|P2,true,1
332,8,9,P19|P8,P1|P14,P10|P16,true,1
333,5,6,P6|P7,P10|P2,P11|P2,true,1
333,7,8,P14|P20,P10|P17,P1|P13,true,1
333,8,9,P17|P18,P10|P11,P12|P19,true,1
334,8,9,P13|P19,P17|P3,P1|P9,true,1
335,4,5,P14|P18,P12|P6,P16|P3,true,1
335,8,9,P3|P6,P15|P4,P2|P5,true,1
336,6,7,P12|P18,P1|P8,P3|P4,true,1
336,7,8,P20|P5,P1|P16,P10|P7,true,1
339,5,6,P18|P4,P16|P6,P10|P3,true,1
341,3,4,P12|P20,P5|P8,P6|P7,true,1
341,9,10,P3|P4,P15|P7,P2|P8,true,1
344,8,9,P10|P4,P13|P5,P1|P8,true,1
345,9,10,P11|P8,P19|P5,P13|P17,true,1
346,6,7,P5|P6,P7|P8,P3|P4,true,1
347,6,7,P17|P7,P12|P18,P1|P16,true,1
347,7,8,P5|P6,P13|P20,P1|P11,true,1
348,8,9,P1|P9,P15|P7,P20|P8,true,1
348,8,9,P15|P7,P1|P9,P18|P4,true,1
350,5,6,P11|P16,P14|P6,P1|P3,true,1
350,8,9,P1|P8,P4|P7,P6|P9,true,1
354,4,5,P13|P15,P3|P9,P1|P12,true,1
354,5,6,P19|P4,P3|P8,P1|P9,true,1
355,5,6,P16|P8,P14|P18,P3|P4,true,1
356,3,4,P3|P4,P11|P2,P14|P19,true,1
358,9,10,P1|P14,P19|P7,P2|P6,true,1
360,7,8,P13|P18,P11|P16,P7|P8,true,1
361,5,6,P12|P4,P11|P15,P5|P7,true,1
361,7,8,P14|P9,P11|P3,P10|P5,true,1
362,5,6,P2|P3,P7|P8,P20|P7,true,1
363,5,6,P17|P8,P14|P4,P16|P19,true,1
365,6,7,P3|P4,P13|P16,P12|P20,true,1
366,4,5,P15|P4,P11|P18,P5|P7,true,1
366,5,6,P3|P9,P6|P8,P10|P15,true,1
367,8,9,P16|P19,P18|P20,P14|P7,true,1
373,8,9,P14|P4,P3|P6,P1|P16,true,1
373,9,10,P12|P7,P2|P6,P1|P8,true,1
374,5,6,P16|P4,P14|P18,P5|P8,true,1
376,7,8,P20|P8,P11|P9,P14|P5,true,1
376,7,8,P1|P10,P17|P18,P12|P6,true,1
379,5,6,P3|P4,P10|P15,P18|P8,true,1
380,9,10,P11|P2,P13|P8,P14|P9,true,1
383,8,9,P10|P20,P2|P3,P15|P8,true,1
384,6,7,P18|P8,P19|P6,P12|P15,true,1
385,4,5,P2|P4,P19|P9,P11|P7,true,1
386,6,7,P11|P7,P18|P5,P19|P6,true,1
386,8,9,P17|P7,P19|P4,P13|P5,true,1
386,9,10,P18|P2,P16|P3,P14|P8,true,1
389,7,8,P16|P5,P15|P8,P12|P4,true,1
389,8,9,P14|P19,P11|P17,P10|P18,true,1
389,9,10,P4|P8,P2|P3,P11|P14,true,1
