simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
2,7,8,P20|P9,P4|P7,P17|P19,true
2,7,8,P17|P19,P11|P14,P20|P9,true
2,9,10,P11|P2,P1|P9,P1|P12,true
4,5,6,P12|P3,P15|P6,P14|P20,true
4,5,6,P10|P9,P5|P7,P11|P16,true
4,7,8,P18|P8,P12|P16,P20|P5,true
6,8,9,P11|P6,P17|P8,P10|P9,true
8,3,4,P19|P3,P1|P20,P13|P2,true
8,6,7,P19|P6,P10|P12,P11|P3,true
9,9,10,P2|P8,P15|P20,P7|P9,true
12,4,5,P11|P7,P1|P9,P10|P3,true
12,7,8,P1|P11,P14|P2,P12|P18,true
15,5,6,P14|P4,P16|P5,P10|P20,true
20,4,5,P4|P9,P11|P7,P14|P6,true
20,6,7,P15|P18,P10|P9,P1|P3,true
20,8,9,P16|P2,P18|P20,P12|P14,true
21,6,7,P17|P6,P10|P19,P20|P3,true
22,5,6,P13|P16,P2|P6,P17|P19,true
23,8,9,P18|P19,P11|P12,P17|P7,true
24,4,5,P17|P4,P14|P3,P1|P9,true
24,8,9,P12|P19,P1|P9,P7|P8,true
25,6,7,P13|P19,P20|P5,P10|P9,true
26,7,8,P12|P7,P11|P18,P17|P20,true
27,9,10,P14|P3,P13|P16,P12|P5,true
28,5,6,P12|P19,P18|P6,P16|P2,true
28,8,9,P14|P16,P1|P10,P20|P3,true
30,2,3,P14|P19,P2|P6,P1|P17,true
31,5,6,P12|P7,P18|P2,P10|P11,true
35,3,4,P3|P4,P14|P20,P17|P2,true
35,6,7,P17|P8,P14|P16,P13|P5,true
35,7,8,P12|P14,P10|P18,P13|P20,true
36,6,7,P11|P18,P2|P7,P13|P4,true
36,9,10,P20|P3,P11|P9,P11|P13,true
38,5,6,P17|P7,P14|P20,P14|P19,true
38,6,7,P11|P5,P2|P4,P17|P9,true
38,8,9,P14|P9,P16|P19,P1|P12,true
42,7,8,P15|P18,P10|P20,P11|P7,true
46,9,10,P15|P4,P7|P8,P14|P6,true
49,6,7,P11|P9,P15|P8,P13|P18,true
50,2,3,P11|P15,P13|P16,P10|P17,true
51,5,6,P10|P11,P2|P5,P13|P17,true
51,5,6,P18|P4,P14|P7,P20|P8,true
52,4,5,P8|P9,P20|P5,P19|P2,true
52,5,6,P15|P7,P5|P6,P12|P13,true
52,5,6,P10|P14,P3|P4,P17|P9,true
53,6,7,P10|P17,P5|P9,P14|P18,true
53,8,9,P20|P4,P14|P3,P6|P8,true
55,5,6,P14|P20,P12|P9,P13|P19,true
61,6,7,P15|P19,P1|P9,P18|P8,true
61,9,10,P1|P2,P14|P8,P12|P18,true
61,9,10,P4|P5,P19|P20,P11|P9,true
63,7,8,P11|P13,P17|P5,P7|P9,true
65,2,3,P1|P8,P11|P2,P10|P15,true
67,8,9,P4|P7,P19|P20,P1|P2,true
71,9,10,P19|P5,P16|P18,P11|P13,true
72,5,6,P4|P8,P12|P15,P1|P13,true
72,7,8,P14|P20,P11|P17,P3|P6,true
73,5,6,P13|P6,P11|P15,P10|P16,true
76,3,4,P17|P19,P1|P13,P3|P5,true
79,7,8,P17|P8,P15|P18,P13|P7,true
79,9,10,P20|P3,P14|P19,P13|P4,true
80,7,8,P12|P13,P1|P4,P14|P18,true
80,9,10,P20|P5,P4|P6,P11|P12,true
82,3,4,P16|P17,P1|P12,P6|P9,true
82,7,8,P10|P17,P18|P5,P13|P14,true
87,9,10,P10|P2,P19|P20,P6|P8,true
89,9,10,P18|P7,P3|P9,P5|P6,true
90,6,7,P14|P7,P11|P17,P1|P6,true
90,7,8,P13|P19,P18|P5,P14|P9,true
91,7,8,P10|P7,P16|P19,P2|P4,true
93,5,6,P11|P15,P18|P2,P14|P17,true
96,4,5,P1|P13,P11|P16,P18|P2,true
99,8,9,P17|P2,P20|P3,P10|P14,true
101,5,6,P20|P5,P1|P18,P4|P6,true
102,4,5,P1|P19,P13|P7,P10|P9,true
102,5,6,P2|P8,P12|P17,P19|P4,true
102,6,7,P12|P5,P14|P6,P11|P2,true
103,4,5,P20|P8,P2|P3,P11|P4,true
104,5,6,P11|P16,P1|P7,P10|P9,true
104,8,9,P19|P3,P20|P8,P1|P10,true
104,9,10,P16|P5,P4|P7,P3|P8,true
105,4,5,P16|P18,P1|P13,P20|P7,true
106,6,7,P10|P12,P17|P19,P7|P8,true
106,7,8,P14|P5,P15|P3,P2|P9,true
107,6,7,P15|P2,P18|P20,P10|P14,true
107,9,10,P13|P9,P15|P8,P18|P5,true
109,6,7,P12|P6,P1|P20,P19|P3,true
109,8,9,P15|P7,P14|P19,P4|P5,true
111,5,6,P13|P7,P10|P4,P11|P16,true
113,8,9,P10|P17,P11|P15,P5|P8,true
115,3,4,P11|P5,P15|P18,P20|P3,true
115,5,6,P3|P4,P1|P16,P20|P7,true
115,9,10,P12|P6,P3|P5,P7|P8,true
119,6,7,P11|P5,P20|P3,P14|P17,true
119,9,10,P6|P9,P10|P4,P2|P3,true
121,8,9,P2|P3,P12|P16,P17|P6,true
122,6,7,P10|P9,P16|P2,P19|P4,true
