batch,repeatAnyPair,repeatPairDifferentOpponents,repeatPairSameOpponents,repeatPairCount,repeatPairDifferentOpponentsCount,repeatPairSameOpponentsCount
1,false,false,false,0,0,0
1,true,true,false,3,3,0
1,false,false,false,0,0,0
1,true,true,false,3,3,0
1,false,false,false,0,0,0
1,true,true,false,1,1,0
1,false,false,false,0,0,0
1,true,true,false,2,2,0
1,true,true,false,1,1,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,true,true,false,2,2,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,true,true,false,1,1,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,true,true,false,3,3,0
1,true,true,false,1,1,0
1,true,true,false,1,1,0
1,true,true,false,1,1,0
1,true,true,false,2,2,0
1,true,true,false,1,1,0
1,true,true,false,1,1,0
1,true,true,false,1,1,0
1,true,true,false,2,2,0
1,false,false,false,0,0,0
1,true,true,false,1,1,0
1,true,true,false,1,1,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,true,true,false,3,3,0
1,true,true,false,2,2,0
1,false,false,false,0,0,0
1,true,true,false,3,3,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,true,true,false,1,1,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,true,true,false,1,1,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,true,true,false,1,1,0
1,true,true,false,1,1,0
1,true,true,false,2,2,0
1,true,true,false,3,3,0
1,true,true,false,2,2,0
1,false,false,false,0,0,0
1,true,true,false,1,1,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
1,false,false,false,0,0,0
2,false,false,false,0,0,0
2,true,true,false,1,1,0
2,false,false,false,0,0,0
2,true,true,false,1,1,0
2,true,true,false,1,1,0
2,true,true,false,1,1,0
2,true,true,false,1,1,0
2,false,false,false,0,0,0
2,false,false,false,0,0,0
2,true,true,false,1,1,0
2,false,false,false,0,0,0
2,true,true,false,2,2,0
2,true,true,false,2,2,0
2,true,true,false,1,1,0
2,true,true,false,3,3,0
2,true,true,false,1,1,0
2,false,false,false,0,0,0
2,false,false,false,0,0,0
2,false,false,false,0,0,0
2,true,true,false,1,1,0
2,true,true,false,4,4,0
2,true,true,false,1,1,0
2,false,false,false,0,0,0
2,false,false,false,0,0,0
2,false,false,false,0,0,0
2,true,true,false,1,1,0
2,false,false,false,0,0,0
2,false,false,false,0,0,0
2,true,true,false,1,1,0
2,false,false,false,0,0,0
2,true,true,false,2,2,0
2,false,false,false,0,0,0
2,false,false,false,0,0,0
2,false,false,false,0,0,0
2,true,true,false,2,2,0
2,true,true,false,1,1,0
2,false,false,false,0,0,0
2,true,true,false,2,2,0
2,true,true,false,1,1,0
2,true,true,false,1,1,0
2,true,true,false,3,3,0
2,true,true,false,1,1,0
2,true,true,false,2,2,0
2,false,false,false,0,0,0
2,true,true,false,3,3,0
2,false,false,false,0,0,0
2,true,true,false,2,2,0
2,false,false,false,0,0,0
2,false,false,false,0,0,0
2,true,true,false,1,1,0
2,false,false,false,0,0,0
2,false,false,false,0,0,0
2,false,false,false,0,0,0
2,true,true,false,1,1,0
2,true,true,false,1,1,0
2,true,true,false,1,1,0
2,true,true,false,1,1,0
2,false,false,false,0,0,0
2,true,true,false,1,1,0
2,false,false,false,0,0,0
3,true,true,false,1,1,0
3,true,true,false,1,1,0
3,false,false,false,0,0,0
3,true,true,false,1,1,0
3,true,true,false,1,1,0
3,true,true,false,1,1,0
3,false,false,false,0,0,0
3,true,true,false,1,1,0
3,false,false,false,0,0,0
3,true,true,false,1,1,0
3,true,true,false,1,1,0
3,true,true,false,1,1,0
3,true,true,false,1,1,0
3,true,true,false,1,1,0
3,false,false,false,0,0,0
3,false,false,false,0,0,0
3,false,false,false,0,0,0
3,false,false,false,0,0,0
3,true,true,false,2,2,0
3,false,false,false,0,0,0
3,false,false,false,0,0,0
3,false,false,false,0,0,0
3,false,false,false,0,0,0
3,true,true,false,1,1,0
3,false,false,false,0,0,0
3,true,true,false,2,2,0
3,true,true,false,3,3,0
3,true,true,false,2,2,0
3,false,false,false,0,0,0
3,false,false,false,0,0,0
3,true,true,false,1,1,0
3,true,true,false,1,1,0
3,true,true,false,1,1,0
3,true,true,false,3,3,0
3,true,true,false,3,3,0
3,true,true,false,1,1,0
3,true,true,false,2,2,0
3,true,true,false,2,2,0
3,false,false,false,0,0,0
3,false,false,false,0,0,0
3,false,false,false,0,0,0
