simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
1,9,10,P1|P2,P15|P6,P10|P3,true
2,8,9,P18|P7,P1|P15,P10|P12,true
2,9,10,P15|P5,P1|P14,P3|P9,true
3,6,7,P1|P19,P14|P18,P10|P17,true
3,7,8,P18|P4,P11|P2,P16|P5,true
6,9,10,P11|P16,P4|P5,P13|P8,true
7,5,6,P19|P2,P16|P7,P10|P9,true
7,8,9,P4|P6,P1|P7,P10|P17,true
9,6,7,P15|P3,P14|P7,P17|P4,true
10,9,10,P15|P5,P12|P7,P19|P20,true
14,3,4,P16|P20,P14|P7,P17|P4,true
18,5,6,P1|P10,P2|P8,P18|P9,true
18,7,8,P12|P3,P18|P2,P15|P4,true
20,4,5,P3|P5,P12|P2,P17|P7,true
23,9,10,P2|P5,P3|P4,P11|P20,true
25,6,7,P10|P17,P11|P7,P1|P2,true
28,6,7,P15|P4,P18|P20,P10|P12,true
30,9,10,P20|P5,P12|P15,P13|P17,true
31,3,4,P20|P9,P4|P7,P12|P15,true
32,6,7,P13|P20,P18|P9,P15|P17,true
32,7,8,P12|P19,P6|P9,P13|P14,true
32,8,9,P11|P18,P16|P6,P2|P8,true
35,5,6,P3|P4,P15|P5,P10|P2,true
40,7,8,P11|P19,P13|P7,P18|P7,true
41,7,8,P2|P8,P12|P16,P4|P9,true
42,5,6,P20|P7,P1|P2,P13|P16,true
43,4,5,P12|P8,P13|P15,P5|P9,true
44,5,6,P12|P7,P15|P9,P1|P16,true
45,5,6,P12|P5,P16|P4,P10|P20,true
45,6,7,P16|P8,P2|P4,P19|P9,true
46,7,8,P10|P18,P16|P17,P13|P20,true
49,3,4,P1|P11,P10|P12,P20|P8,true
52,7,8,P3|P8,P10|P20,P11|P2,true
53,5,6,P1|P2,P13|P9,P10|P14,true
54,1,2,P17|P18,P13|P14,P10|P6,true
54,7,8,P1|P14,P13|P9,P2|P3,true
55,7,8,P11|P20,P12|P13,P17|P4,true
56,5,6,P12|P4,P10|P19,P20|P3,true
56,6,7,P7|P9,P19|P5,P12|P16,true
57,3,4,P13|P20,P8|P9,P1|P10,true
60,5,6,P15|P2,P12|P3,P1|P10,true
60,8,9,P3|P6,P12|P17,P4|P8,true
61,5,6,P10|P2,P11|P14,P6|P9,true
61,9,10,P5|P6,P12|P17,P16|P3,true
63,4,5,P13|P7,P14|P8,P19|P4,true
63,8,9,P10|P15,P5|P7,P3|P4,true
65,5,6,P15|P7,P12|P20,P14|P9,true
65,6,7,P16|P5,P20|P6,P3|P9,true
66,4,5,P16|P2,P17|P7,P1|P14,true
67,5,6,P12|P9,P5|P8,P1|P7,true
67,5,6,P1|P7,P20|P3,P12|P9,true
68,3,4,P16|P7,P14|P15,P13|P18,true
68,3,4,P13|P18,P4|P5,P16|P7,true
69,5,6,P12|P20,P13|P16,P15|P6,true
70,9,10,P1|P11,P3|P4,P6|P9,true
71,5,6,P3|P8,P2|P9,P16|P17,true
72,7,8,P2|P20,P11|P8,P12|P7,true
72,7,8,P19|P5,P13|P14,P18|P4,true
72,8,9,P13|P8,P16|P9,P3|P6,true
73,8,9,P11|P20,P1|P6,P19|P7,true
