simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
1,4,5,P5|P8,P10|P11,P19|P6,true
2,5,6,P13|P8,P14|P15,P16|P17,true
4,7,8,P17|P8,P11|P9,P1|P3,true
5,4,5,P1|P2,P18|P8,P20|P3,true
6,8,9,P10|P8,P13|P9,P12|P14,true
8,8,9,P3|P6,P1|P15,P12|P16,true
10,5,6,P16|P2,P4|P9,P1|P7,true
11,7,8,P11|P9,P16|P8,P1|P20,true
12,8,9,P2|P9,P1|P20,P14|P6,true
13,3,4,P13|P14,P11|P8,P1|P17,true
14,6,7,P2|P3,P20|P6,P18|P19,true
19,5,6,P13|P14,P18|P6,P15|P4,true
19,5,6,P15|P4,P2|P9,P13|P14,true
24,9,10,P3|P4,P11|P16,P19|P5,true
26,2,3,P10|P17,P16|P7,P2|P6,true
26,8,9,P14|P7,P5|P6,P2|P4,true
27,5,6,P1|P2,P18|P19,P11|P3,true
27,6,7,P11|P3,P1|P2,P10|P13,true
27,7,8,P10|P13,P11|P3,P1|P20,true
28,6,7,P10|P9,P2|P20,P13|P8,true
28,7,8,P3|P6,P1|P15,P10|P19,true
31,7,8,P13|P2,P10|P18,P19|P5,true
32,8,9,P4|P6,P10|P20,P1|P5,true
33,4,5,P20|P7,P11|P4,P14|P6,true
34,5,6,P13|P9,P11|P4,P1|P5,true
34,6,7,P18|P6,P15|P20,P12|P3,true
34,7,8,P4|P5,P11|P20,P12|P15,true
35,6,7,P2|P3,P4|P5,P11|P20,true
35,6,7,P11|P20,P1|P13,P2|P3,true
35,6,7,P12|P15,P6|P9,P4|P6,true
36,8,9,P11|P14,P2|P5,P1|P7,true
37,6,7,P15|P8,P12|P19,P10|P2,true
37,9,10,P14|P16,P4|P9,P5|P6,true
38,4,5,P16|P20,P18|P2,P12|P19,true
38,7,8,P17|P19,P1|P5,P12|P15,true
42,6,7,P14|P7,P10|P11,P20|P9,true
43,5,6,P5|P7,P1|P17,P10|P19,true
44,9,10,P12|P3,P11|P15,P14|P18,true
45,9,10,P10|P6,P13|P8,P17|P18,true
46,4,5,P11|P17,P5|P6,P10|P7,true
46,8,9,P15|P16,P11|P8,P1|P10,true
47,3,4,P10|P18,P19|P8,P16|P9,true
47,3,4,P17|P5,P14|P9,P2|P6,true
47,7,8,P6|P9,P14|P18,P15|P3,true
50,7,8,P19|P20,P11|P7,P18|P6,true
50,9,10,P20|P9,P10|P11,P13|P2,true
52,3,4,P19|P20,P11|P8,P15|P18,true
52,6,7,P18|P3,P13|P5,P14|P17,true
52,8,9,P20|P8,P14|P7,P1|P15,true
53,6,7,P10|P12,P17|P9,P15|P18,true
53,9,10,P17|P5,P15|P18,P13|P15,true
54,6,7,P12|P13,P11|P9,P19|P2,true
55,9,10,P14|P16,P17|P19,P20|P4,true
57,7,8,P6|P9,P13|P19,P15|P18,true
58,5,6,P12|P6,P13|P8,P11|P2,true
59,9,10,P15|P20,P17|P18,P11|P8,true
60,6,7,P10|P17,P12|P6,P16|P20,true
62,9,10,P14|P15,P2|P9,P10|P11,true
64,5,6,P14|P5,P15|P20,P11|P6,true
65,5,6,P12|P19,P15|P8,P4|P6,true
65,9,10,P5|P8,P14|P17,P13|P2,true
66,5,6,P5|P8,P2|P20,P13|P6,true
67,9,10,P16|P7,P4|P8,P12|P9,true
69,4,5,P1|P10,P14|P16,P12|P4,true
70,6,7,P17|P9,P20|P4,P11|P5,true
70,8,9,P14|P9,P11|P13,P17|P20,true
71,8,9,P10|P7,P2|P3,P18|P19,true
74,3,4,P17|P18,P10|P16,P19|P5,true
75,3,4,P17|P4,P12|P16,P11|P2,true
75,7,8,P19|P4,P15|P17,P10|P7,true
75,8,9,P11|P2,P17|P5,P14|P6,true
76,5,6,P10|P3,P15|P16,P2|P7,true
76,5,6,P11|P8,P2|P5,P15|P17,true
79,5,6,P4|P6,P2|P7,P16|P20,true
80,5,6,P3|P6,P20|P8,P10|P2,true
80,8,9,P1|P5,P2|P8,P16|P7,true
83,3,4,P10|P5,P18|P19,P1|P14,true
85,7,8,P16|P8,P18|P7,P14|P17,true
86,6,7,P13|P19,P11|P18,P12|P9,true
87,9,10,P16|P5,P10|P4,P14|P18,true
88,7,8,P14|P6,P12|P8,P13|P19,true
88,9,10,P8|P9,P14|P7,P1|P3,true
90,5,6,P15|P18,P19|P6,P12|P7,true
92,4,5,P12|P4,P13|P9,P16|P6,true
93,8,9,P17|P20,P19|P8,P18|P6,true
94,8,9,P12|P3,P19|P4,P15|P8,true
95,2,3,P2|P3,P14|P16,P17|P18,true
95,3,4,P17|P18,P2|P3,P11|P7,true
98,6,7,P6|P7,P1|P13,P2|P3,true
99,8,9,P20|P4,P1|P9,P13|P19,true
100,5,6,P12|P13,P1|P8,P18|P7,true
101,9,10,P2|P3,P20|P4,P16|P6,true
103,5,6,P11|P2,P10|P6,P19|P7,true
104,9,10,P18|P6,P10|P15,P8|P9,true
105,5,6,P10|P12,P14|P20,P17|P5,true
105,8,9,P11|P12,P6|P8,P17|P3,true
107,4,5,P3|P4,P14|P20,P11|P18,true
107,7,8,P10|P20,P1|P7,P12|P14,true
107,8,9,P17|P4,P1|P2,P5|P6,true
110,4,5,P10|P6,P1|P18,P20|P5,true
111,6,7,P12|P6,P17|P5,P15|P9,true
113,4,5,P2|P9,P3|P7,P19|P5,true
115,5,6,P18|P6,P2|P20,P14|P9,true
115,9,10,P1|P5,P18|P19,P12|P20,true
116,3,4,P14|P19,P13|P17,P16|P4,true
116,6,7,P10|P11,P20|P4,P13|P6,true
116,7,8,P1|P17,P18|P20,P2|P8,true
119,3,4,P4|P8,P10|P3,P17|P6,true
119,4,5,P13|P18,P19|P7,P1|P4,true
119,6,7,P13|P8,P2|P5,P16|P9,true
120,7,8,P19|P6,P14|P3,P17|P18,true
