simulationId,numPlayers,maxBenchCount,minBenchCount,benchRange,avgBenchCount,meanGap,doubleBenchCount,totalGapEvents
1,17,3,0,3,0.5882352941176471,2,2,3
2,17,3,0,3,0.5882352941176471,2.25,1,4
3,17,2,0,2,0.5882352941176471,0.5,1,2
4,17,2,0,2,0.5882352941176471,3,1,2
5,17,3,0,3,0.5882352941176471,3,1,2
6,17,2,0,2,0.5882352941176471,3,0,1
7,17,1,0,1,0.5882352941176471,0,0,0
8,17,3,0,3,0.5882352941176471,1,3,4
9,17,2,0,2,0.5882352941176471,3.5,0,2
10,17,2,0,2,0.5882352941176471,2.5,0,2
11,17,2,0,2,0.5882352941176471,4.5,0,2
12,17,2,0,2,0.5882352941176471,1,0,2
13,17,2,0,2,0.5882352941176471,0.6666666666666666,2,3
14,17,2,0,2,0.5882352941176471,2.5,1,2
15,17,3,0,3,0.5882352941176471,3.25,1,4
16,17,5,0,5,0.5882352941176471,1.25,1,4
17,17,2,0,2,0.5882352941176471,4,0,1
18,17,3,0,3,0.5882352941176471,2,1,5
19,17,2,0,2,0.5882352941176471,3.6666666666666665,0,3
20,17,3,0,3,0.5882352941176471,1,3,5
21,17,2,0,2,0.5882352941176471,0,1,1
22,17,2,0,2,0.5882352941176471,2.6666666666666665,0,3
23,17,2,0,2,0.5882352941176471,3.5,0,2
24,17,2,0,2,0.5882352941176471,3,0,2
25,17,2,0,2,0.5882352941176471,3.3333333333333335,0,3
26,17,3,0,3,0.5882352941176471,4,0,4
27,17,2,0,2,0.5882352941176471,4,0,2
28,17,3,0,3,0.5882352941176471,1,1,3
29,17,2,0,2,0.5882352941176471,3.3333333333333335,0,3
30,17,2,0,2,0.5882352941176471,1,0,1
31,17,2,0,2,0.5882352941176471,3,0,2
32,17,2,0,2,0.5882352941176471,4.5,0,2
33,17,3,0,3,0.5882352941176471,2.6666666666666665,0,3
34,17,2,0,2,0.5882352941176471,2.6666666666666665,0,3
35,17,2,0,2,0.5882352941176471,3.5,0,2
36,17,3,0,3,0.5882352941176471,3,2,4
37,17,3,0,3,0.5882352941176471,1.6666666666666667,0,3
38,17,3,0,3,0.5882352941176471,3.5,0,4
39,17,2,0,2,0.5882352941176471,1,1,4
40,17,2,0,2,0.5882352941176471,1,1,2
41,17,2,0,2,0.5882352941176471,5,0,1
42,17,2,0,2,0.5882352941176471,2.5,1,2
43,17,2,0,2,0.5882352941176471,8,0,1
44,17,2,0,2,0.5882352941176471,3.5,0,2
45,17,3,0,3,0.5882352941176471,3.3333333333333335,1,3
46,17,2,0,2,0.5882352941176471,3.6666666666666665,1,3
47,17,3,0,3,0.5882352941176471,1.3333333333333333,2,3
48,17,2,0,2,0.5882352941176471,2.5,0,2
49,17,3,0,3,0.5882352941176471,1,0,3
50,17,2,0,2,0.5882352941176471,6,0,1
1,18,5,0,5,1.1111111111111112,0.2857142857142857,5,7
2,18,3,0,3,1.1111111111111112,2,3,7
3,18,3,0,3,1.1111111111111112,2.5,0,8
4,18,5,0,5,1.1111111111111112,1.1818181818181819,5,11
5,18,3,0,3,1.1111111111111112,1.5,2,8
6,18,4,0,4,1.1111111111111112,1.3333333333333333,2,6
7,18,3,0,3,1.1111111111111112,1.8571428571428572,2,7
8,18,5,0,5,1.1111111111111112,1.625,4,8
9,18,4,0,4,1.1111111111111112,1.8888888888888888,1,9
10,18,3,0,3,1.1111111111111112,3,0,9
11,18,3,0,3,1.1111111111111112,2.4,2,10
12,18,4,0,4,1.1111111111111112,2.625,1,8
13,18,3,0,3,1.1111111111111112,1.8333333333333333,1,6
14,18,3,0,3,1.1111111111111112,2.111111111111111,2,9
15,18,4,0,4,1.1111111111111112,2.2,2,10
16,18,3,0,3,1.1111111111111112,1.8888888888888888,3,9
17,18,4,0,4,1.1111111111111112,1.2857142857142858,3,7
18,18,5,0,5,1.1111111111111112,1.9,2,10
19,18,4,0,4,1.1111111111111112,2,2,8
20,18,3,0,3,1.1111111111111112,0.8571428571428571,5,7
21,18,3,0,3,1.1111111111111112,1.1666666666666667,3,6
22,18,4,0,4,1.1111111111111112,2.3,2,10
23,18,3,0,3,1.1111111111111112,2.6666666666666665,0,9
24,18,4,0,4,1.1111111111111112,2.5,2,10
25,18,3,0,3,1.1111111111111112,2.2857142857142856,2,7
26,18,3,0,3,1.1111111111111112,1.75,2,8
27,18,5,0,5,1.1111111111111112,2.0833333333333335,1,12
28,18,3,0,3,1.1111111111111112,1.875,0,8
29,18,5,0,5,1.1111111111111112,1.4444444444444444,3,9
30,18,4,0,4,1.1111111111111112,1.5,2,8
31,18,4,0,4,1.1111111111111112,1.9090909090909092,4,11
32,18,4,0,4,1.1111111111111112,2.125,3,8
33,18,2,0,2,1.1111111111111112,3.4285714285714284,1,7
34,18,3,0,3,1.1111111111111112,1.7777777777777777,2,9
35,18,3,0,3,1.1111111111111112,2,3,8
36,18,4,0,4,1.1111111111111112,2.125,3,8
37,18,4,0,4,1.1111111111111112,2.125,3,8
38,18,4,0,4,1.1111111111111112,2,3,7
39,18,3,0,3,1.1111111111111112,2.888888888888889,3,9
40,18,3,0,3,1.1111111111111112,2,4,9
41,18,3,0,3,1.1111111111111112,1.6666666666666667,2,6
42,18,3,0,3,1.1111111111111112,2.142857142857143,1,7
43,18,3,0,3,1.1111111111111112,2.111111111111111,2,9
44,18,3,0,3,1.1111111111111112,3.2222222222222223,1,9
45,18,3,0,3,1.1111111111111112,2.2,1,5
46,18,3,0,3,1.1111111111111112,2,3,8
47,18,3,0,3,1.1111111111111112,2.2857142857142856,2,7
48,18,3,0,3,1.1111111111111112,1.625,4,8
49,18,5,0,5,1.1111111111111112,0.8,3,5
50,18,3,0,3,1.1111111111111112,3.1666666666666665,0,6
1,19,6,0,6,1.5789473684210527,1.3333333333333333,6,15
2,19,4,0,4,1.5789473684210527,2.076923076923077,3,13
3,19,4,0,4,1.5789473684210527,2.235294117647059,5,17
4,19,5,0,5,1.5789473684210527,2.2142857142857144,3,14
5,19,4,0,4,1.5789473684210527,1.5625,7,16
6,19,3,0,3,1.5789473684210527,1.6923076923076923,5,13
7,19,4,0,4,1.5789473684210527,1.8,5,15
8,19,4,0,4,1.5789473684210527,1.7333333333333334,3,15
9,19,3,0,3,1.5789473684210527,2.0714285714285716,3,14
10,19,4,0,4,1.5789473684210527,1.6470588235294117,3,17
11,19,5,0,5,1.5789473684210527,1.6153846153846154,5,13
12,19,4,0,4,1.5789473684210527,1.7333333333333334,5,15
13,19,3,0,3,1.5789473684210527,2.3333333333333335,4,15
14,19,4,0,4,1.5789473684210527,1.9375,5,16
15,19,4,0,4,1.5789473684210527,1.5333333333333334,5,15
16,19,4,0,4,1.5789473684210527,2,4,15
