pairId,totalMatches,asTeammate,asOpponent
P3|P6,385,127,258
P4|P6,409,135,274
P14|P6,388,135,253
P3|P4,621,188,433
P14|P3,384,117,267
P14|P4,426,137,289
P15|P16,457,144,313
P16|P8,393,127,266
P16|P5,403,118,285
P15|P8,405,130,275
P15|P5,370,119,251
P5|P8,409,145,264
P1|P11,403,145,258
P11|P2,427,156,271
P11|P12,400,139,261
P1|P2,730,251,479
P1|P12,414,145,269
P12|P2,429,138,291
P10|P9,402,148,254
P13|P9,395,132,263
P7|P9,351,113,238
P10|P13,394,111,283
P10|P7,375,124,251
P13|P7,409,127,282
P17|P3,458,164,294
P17|P8,430,136,294
P11|P17,350,123,227
P3|P8,444,140,304
P11|P3,378,121,257
P11|P8,435,144,291
P1|P15,437,146,291
P1|P13,415,133,282
P1|P4,370,110,260
P13|P15,327,122,205
P15|P4,446,149,297
P13|P4,425,126,299
P16|P2,428,144,284
P14|P16,415,131,284
P2|P5,398,121,277
P14|P2,432,140,292
P14|P5,396,118,278
P12|P7,413,135,278
P6|P7,419,150,269
P12|P6,428,143,285
P10|P12,388,136,252
P10|P6,422,133,289
P1|P8,490,153,337
P15|P2,405,142,263
P2|P8,470,162,308
P3|P7,345,114,231
P16|P3,437,153,284
P4|P7,413,150,263
P16|P4,431,145,286
P16|P7,385,139,246
P12|P14,365,117,248
P12|P5,457,140,317
P10|P14,428,162,266
P10|P5,412,129,283
P11|P13,361,109,252
P11|P9,421,147,274
P13|P17,395,139,256
P17|P9,415,135,280
P5|P6,458,163,295
P4|P5,480,182,298
P3|P9,436,155,281
P2|P3,586,215,371
P2|P9,477,150,327
P16|P9,452,142,310
P13|P8,415,139,276
P1|P7,435,134,301
P7|P8,428,140,288
P10|P11,368,103,265
P10|P17,405,145,260
P12|P17,413,112,301
P11|P5,420,147,273
P11|P14,369,114,255
P17|P2,453,162,291
P12|P9,391,125,266
P1|P6,397,124,273
P13|P6,401,143,258
P6|P8,395,133,262
P12|P3,395,123,272
P11|P7,379,122,257
P4|P8,455,148,307
P2|P4,371,134,237
P4|P9,473,167,306
P8|P9,432,138,294
P17|P5,409,142,267
P14|P17,362,122,240
P13|P16,395,141,254
P1|P16,454,168,286
P16|P6,389,122,267
P1|P9,397,132,265
P11|P4,406,136,270
P13|P3,435,142,293
P15|P6,375,130,245
P15|P7,366,108,258
P14|P8,420,147,273
P12|P8,408,147,261
P3|P5,443,154,289
P15|P3,424,123,301
P10|P2,430,134,296
P1|P10,412,136,276
P1|P17,394,116,278
P10|P16,423,150,273
P2|P7,398,123,275
P12|P13,385,144,241
P13|P5,393,130,263
P5|P7,391,137,254
P1|P14,430,170,260
P14|P9,383,112,271
P17|P4,426,147,279
P17|P6,394,129,265
P16|P17,450,151,299
P10|P15,388,107,281
P11|P15,382,114,268
P10|P3,396,137,259
P13|P14,402,125,277
P11|P6,394,133,261
P1|P5,343,101,242
P14|P15,349,132,217
P17|P7,383,137,246
P15|P9,380,147,233
P11|P16,378,128,250
P10|P8,425,164,261
P10|P4,419,143,276
P12|P16,417,139,278
P15|P17,405,137,268
P13|P2,428,143,285
P6|P9,408,127,281
P2|P6,438,145,293
P12|P4,449,149,300
P12|P15,360,132,228
P14|P7,383,127,256
P5|P9,429,153,276
P1|P3,274,94,180
P18|P4,342,102,240
P18|P6,326,106,220
P18|P5,326,107,219
P14|P18,283,91,192
P16|P18,296,111,185
P18|P3,357,127,230
P18|P9,333,103,230
P13|P18,306,107,199
P11|P18,299,97,202
P10|P18,320,127,193
P17|P18,322,104,218
P18|P8,331,108,223
P1|P18,303,101,202
P12|P18,319,106,213
P15|P18,267,92,175
P18|P7,291,103,188
P18|P2,373,110,263
P14|P19,204,62,142
P19|P6,220,83,137
P19|P5,236,86,150
P10|P19,186,49,137
P19|P8,230,71,159
P17|P19,214,73,141
P18|P19,218,74,144
P19|P2,267,88,179
P15|P19,214,79,135
P19|P9,215,69,146
P19|P7,202,78,124
P1|P19,261,96,165
P12|P19,245,87,158
P19|P3,217,72,145
P19|P4,234,67,167
P16|P19,249,73,176
P13|P19,226,82,144
P11|P19,220,70,150
P20|P4,169,65,104
P14|P20,169,52,117
P18|P20,174,65,109
P12|P20,196,66,130
P20|P7,187,59,128
P17|P20,158,43,115
P19|P20,169,57,112
P20|P8,173,50,123
P20|P5,180,57,123
P11|P20,152,60,92
P10|P20,153,44,109
P2|P20,199,59,140
P13|P20,152,62,90
P15|P20,178,57,121
P20|P6,169,54,115
P20|P9,160,58,102
P20|P3,174,62,112
P16|P20,161,43,118
P1|P20,196,72,124
P20|P21,111,35,76
P13|P21,111,34,77
P17|P21,90,28,62
P21|P3,122,42,80
P15|P21,95,31,64
P12|P21,105,32,73
P21|P6,101,27,74
P21|P5,119,45,74
P11|P21,101,41,60
P21|P4,116,44,72
P18|P21,102,24,78
P16|P21,105,37,68
P10|P21,96,35,61
P19|P21,94,30,64
P2|P21,130,44,86
P21|P8,114,38,76
P21|P9,101,32,69
P21|P7,94,30,64
P14|P21,114,50,64
P1|P21,102,27,75
P22|P4,45,18,27
P22|P6,46,12,34
P12|P22,48,20,28
P14|P22,56,25,31
P15|P22,41,16,25
P17|P22,42,11,31
P16|P22,51,17,34
P10|P22,45,12,33
P22|P8,56,26,30
P22|P5,46,12,34
P19|P22,44,9,35
P2|P22,56,14,42
P22|P9,40,12,28
P1|P22,53,16,37
P21|P22,46,17,29
P11|P22,34,10,24
P22|P7,45,14,31
P22|P3,53,18,35
P18|P22,52,15,37
P13|P22,42,13,29
P20|P22,46,22,24
