batch,simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
1,1,2,3,P11|P12,P19|P5,P16|P6,true
1,2,2,3,P4|P6,P16|P8,P20|P3,true
1,2,3,4,P20|P3,P4|P6,P12|P4,true
1,4,1,2,P2|P4,P15|P8,P19|P3,true
1,4,1,2,P17|P7,P14|P6,P10|P18,true
1,4,3,4,P6|P8,P14|P19,P12|P17,true
1,4,3,4,P14|P19,P6|P8,P2|P9,true
1,5,1,2,P16|P18,P19|P8,P2|P9,true
1,5,1,2,P15|P20,P13|P2,P17|P8,true
1,5,6,7,P16|P20,P11|P7,P15|P2,true
1,5,8,9,P16|P5,P11|P8,P14|P20,true
1,5,9,10,P10|P2,P19|P4,P15|P18,true
1,7,2,3,P13|P15,P1|P8,P17|P19,true
1,7,2,3,P17|P19,P10|P6,P13|P15,true
1,7,7,8,P17|P20,P12|P7,P15|P6,true
1,8,1,2,P12|P18,P1|P17,P14|P7,true
1,8,4,5,P18|P9,P12|P13,P10|P15,true
1,8,6,7,P10|P18,P14|P9,P11|P17,true
1,8,7,8,P12|P14,P15|P8,P16|P6,true
1,9,1,2,P20|P8,P2|P9,P13|P15,true
1,10,3,4,P2|P9,P11|P14,P1|P20,true
1,10,6,7,P13|P19,P10|P20,P10|P14,true
1,10,8,9,P5|P8,P1|P9,P12|P17,true
1,11,3,4,P3|P6,P20|P8,P19|P7,true
1,11,4,5,P12|P5,P1|P10,P13|P17,true
1,12,2,3,P3|P6,P11|P7,P11|P19,true
1,12,3,4,P14|P5,P17|P4,P18|P9,true
1,12,5,6,P2|P8,P14|P16,P14|P5,true
1,12,7,8,P1|P14,P15|P4,P18|P6,true
1,13,7,8,P1|P18,P2|P6,P12|P4,true
1,14,7,8,P17|P20,P14|P8,P1|P8,true
1,14,9,10,P17|P19,P6|P9,P13|P7,true
1,15,3,4,P20|P6,P14|P16,P12|P13,true
1,15,3,4,P10|P8,P18|P4,P15|P3,true
1,15,3,4,P15|P3,P19|P7,P10|P8,true
1,15,6,7,P12|P6,P11|P7,P10|P17,true
1,15,7,8,P10|P17,P12|P6,P15|P19,true
1,16,1,2,P15|P7,P4|P9,P1|P2,true
1,16,8,9,P2|P3,P18|P19,P11|P6,true
1,16,8,9,P18|P19,P2|P3,P16|P7,true
1,16,9,10,P1|P15,P14|P5,P11|P19,true
1,17,4,5,P16|P7,P1|P19,P2|P4,true
1,17,4,5,P1|P19,P16|P7,P10|P8,true
1,17,5,6,P2|P4,P16|P7,P15|P16,true
1,17,5,6,P1|P19,P10|P8,P17|P7,true
1,17,6,7,P5|P9,P20|P3,P13|P20,true
1,18,1,2,P18|P6,P16|P20,P10|P7,true
1,18,2,3,P12|P8,P11|P16,P14|P15,true
1,18,9,10,P20|P6,P16|P4,P18|P8,true
1,18,9,10,P3|P7,P12|P17,P11|P19,true
1,19,3,4,P1|P7,P13|P2,P10|P6,true
1,19,3,4,P12|P8,P6|P9,P15|P4,true
1,20,1,2,P18|P8,P12|P4,P11|P20,true
1,20,1,2,P13|P3,P14|P9,P15|P5,true
1,20,7,8,P15|P3,P12|P2,P20|P8,true
1,20,8,9,P2|P9,P1|P14,P1|P10,true
1,21,4,5,P1|P15,P19|P3,P11|P9,true
1,21,6,7,P19|P9,P17|P18,P10|P17,true
1,21,7,8,P19|P9,P10|P17,P10|P5,true
1,21,8,9,P1|P12,P17|P7,P14|P3,true
1,22,1,2,P5|P6,P16|P9,P15|P7,true
1,22,2,3,P1|P19,P12|P2,P6|P9,true
1,22,3,4,P11|P12,P10|P4,P10|P5,true
