playerId,level,totalWins,totalLosses,gamesPlayed
P1,1,29779,53190,82969
P2,1,32905,58372,91277
P3,2,36225,48505,84730
P4,2,36911,49255,86166
P5,2,35069,46496,81565
P6,2,34313,45406,79719
P7,2,32266,43117,75383
P8,3,41652,41290,82942
P9,3,40759,39861,80620
P10,3,38927,38821,77748
P11,3,37604,37581,75185
P12,3,39834,39666,79500
P13,3,38993,38759,77752
P14,4,44478,32631,77109
P15,4,43593,31914,75507
P16,4,46283,34105,80388
P17,4,45615,33574,79189
P18,4,44808,32732,77540
P19,5,49354,27155,76509
P20,5,50632,27570,78202
