simulationId,rounds,repeatAnyPair,repeatPairDifferentOpponents,repeatPairSameOpponents,repeatPairCount,repeatPairDifferentOpponentsCount,repeatPairSameOpponentsCount
1,10,true,true,true,25,23,2
2,10,true,true,false,25,25,0
3,10,true,true,false,19,19,0
4,10,true,true,false,13,13,0
5,10,true,true,false,18,18,0
6,10,true,true,false,15,15,0
7,10,true,true,false,18,18,0
8,10,true,true,false,22,22,0
9,10,true,true,false,20,20,0
10,10,true,true,false,13,13,0
11,10,true,true,false,16,16,0
12,10,true,true,false,14,14,0
13,10,true,true,false,18,18,0
14,10,true,true,false,19,19,0
15,10,true,true,false,16,16,0
16,10,true,true,false,16,16,0
17,10,true,true,false,22,22,0
18,10,true,true,false,15,15,0
19,10,true,true,false,16,16,0
20,10,true,true,false,14,14,0
21,10,true,true,false,16,16,0
22,10,true,true,false,16,16,0
23,10,true,true,false,19,19,0
24,10,true,true,false,15,15,0
25,10,true,true,false,14,14,0
26,10,true,true,false,21,21,0
27,10,true,true,false,15,15,0
28,10,true,true,false,18,18,0
29,10,true,true,false,21,21,0
30,10,true,true,false,22,22,0
31,10,true,true,false,17,17,0
32,10,true,true,false,17,17,0
33,10,true,true,false,17,17,0
34,10,true,true,false,19,19,0
35,10,true,true,false,16,16,0
36,10,true,true,false,20,20,0
37,10,true,true,false,15,15,0
38,10,true,true,true,23,21,2
39,10,true,true,false,16,16,0
40,10,true,true,false,17,17,0
41,10,true,true,false,13,13,0
42,10,true,true,false,15,15,0
43,10,true,true,false,20,20,0
44,10,true,true,false,17,17,0
45,10,true,true,false,18,18,0
46,10,true,true,false,15,15,0
47,10,true,true,false,21,21,0
48,10,true,true,false,20,20,0
49,10,true,true,false,20,20,0
50,10,true,true,true,22,18,4
1,10,true,true,false,12,12,0
2,10,true,true,false,22,22,0
3,10,true,true,true,20,18,2
4,10,true,true,false,14,14,0
5,10,true,true,false,14,14,0
6,10,true,true,false,20,20,0
7,10,true,true,false,13,13,0
8,10,true,true,false,17,17,0
9,10,true,true,false,18,18,0
10,10,true,true,false,20,20,0
11,10,true,true,false,18,18,0
12,10,true,true,false,20,20,0
13,10,true,true,false,12,12,0
14,10,true,true,false,9,9,0
15,10,true,true,false,17,17,0
16,10,true,true,false,12,12,0
17,10,true,true,false,15,15,0
18,10,true,true,false,19,19,0
19,10,true,true,false,17,17,0
20,10,true,true,false,14,14,0
21,10,true,true,false,16,16,0
22,10,true,true,false,19,19,0
23,10,true,true,false,20,20,0
24,10,true,true,false,16,16,0
25,10,true,true,false,17,17,0
26,10,true,true,false,15,15,0
27,10,true,true,false,10,10,0
28,10,true,true,false,14,14,0
29,10,true,true,false,9,9,0
30,10,true,true,true,18,17,1
31,10,true,true,false,18,18,0
32,10,true,true,false,18,18,0
33,10,true,true,false,12,12,0
34,10,true,true,false,16,16,0
35,10,true,true,false,19,19,0
36,10,true,true,false,15,15,0
37,10,true,true,false,16,16,0
38,10,true,true,false,17,17,0
39,10,true,true,false,17,17,0
40,10,true,true,true,21,19,2
41,10,true,true,false,17,17,0
42,10,true,true,false,15,15,0
43,10,true,true,false,15,15,0
44,10,true,true,false,19,19,0
45,10,true,true,false,12,12,0
46,10,true,true,false,11,11,0
47,10,true,true,false,13,13,0
48,10,true,true,false,17,17,0
49,10,true,true,false,13,13,0
50,10,true,true,false,18,18,0
1,10,true,true,false,11,11,0
2,10,true,true,false,14,14,0
3,10,true,true,false,18,18,0
4,10,true,true,false,14,14,0
5,10,true,true,false,15,15,0
6,10,true,true,false,9,9,0
7,10,true,true,false,14,14,0
8,10,true,true,false,16,16,0
9,10,true,true,false,18,18,0
10,10,true,true,false,18,18,0
11,10,true,true,false,17,17,0
12,10,true,true,false,17,17,0
13,10,true,true,false,18,18,0
14,10,true,true,true,14,13,1
15,10,true,true,true,12,10,2
16,10,true,true,true,21,20,1
17,10,true,true,false,14,14,0
18,10,true,true,true,19,17,2
19,10,true,true,false,13,13,0
20,10,true,true,false,17,17,0
21,10,true,true,false,13,13,0
22,10,true,true,false,12,12,0
23,10,true,true,false,20,20,0
24,10,true,true,false,19,19,0
25,10,true,true,false,10,10,0
26,10,true,true,false,18,18,0
27,10,true,true,false,11,11,0
28,10,true,true,false,10,10,0
29,10,true,true,false,15,15,0
