pairId,totalMatches,asTeammate,asOpponent
P1|P6,420,140,280
P10|P6,423,144,279
P4|P6,389,113,276
P1|P10,407,137,270
P1|P4,421,137,284
P10|P4,405,140,265
P7|P8,391,133,258
P12|P8,411,144,267
P8|P9,396,125,271
P12|P7,428,144,284
P7|P9,403,134,269
P12|P9,423,130,293
P13|P16,410,125,285
P16|P17,417,134,283
P14|P16,397,125,272
P13|P17,426,144,282
P13|P14,418,146,272
P14|P17,408,137,271
P11|P3,400,132,268
P11|P15,408,148,260
P11|P2,413,139,274
P15|P3,410,132,278
P2|P3,403,132,271
P15|P2,427,145,282
P1|P3,417,149,268
P3|P8,414,145,269
P1|P8,411,141,270
P1|P11,406,123,283
P11|P8,411,140,271
P10|P16,431,140,291
P10|P17,393,122,271
P16|P6,406,139,267
P17|P6,411,141,270
P13|P7,382,121,261
P14|P7,404,133,271
P13|P9,412,142,270
P14|P9,395,124,271
P15|P5,405,135,270
P2|P5,391,114,277
P12|P5,399,141,258
P12|P15,418,130,288
P12|P2,407,138,269
P6|P7,427,150,277
P3|P6,397,123,274
P15|P6,406,138,268
P3|P7,405,136,269
P15|P7,394,135,259
P17|P2,420,133,287
P17|P9,407,128,279
P1|P17,414,130,284
P2|P9,408,136,272
P1|P2,401,131,270
P1|P9,406,136,270
P10|P11,402,140,262
P11|P12,413,134,279
P11|P5,393,130,263
P10|P12,409,139,270
P10|P5,414,138,276
P4|P8,412,140,272
P14|P4,414,145,269
P16|P4,446,152,294
P14|P8,439,146,293
P16|P8,397,125,272
P10|P8,397,129,268
P10|P13,399,133,266
P13|P8,408,131,277
P13|P4,403,145,258
P3|P5,421,144,277
P14|P3,401,141,260
P5|P6,407,138,269
P14|P6,406,134,272
P14|P5,412,139,273
P15|P17,412,138,274
P1|P15,418,137,281
P17|P7,400,129,271
P1|P7,408,134,274
P11|P9,408,134,274
P11|P16,428,156,272
P12|P16,409,136,273
P16|P9,422,144,278
P15|P8,408,133,275
P14|P15,419,136,283
P11|P14,419,133,286
P2|P7,425,153,272
P16|P7,379,122,257
P2|P6,400,131,269
P16|P2,433,148,285
P3|P9,433,156,277
P5|P9,421,145,276
P17|P3,406,138,268
P17|P5,408,131,277
P12|P4,406,136,270
P1|P12,404,138,266
P1|P13,406,131,275
P12|P13,413,145,268
P1|P5,410,137,273
P15|P9,417,141,276
P12|P17,412,148,264
P17|P4,407,138,269
P12|P3,401,125,276
P3|P4,388,124,264
P10|P7,419,138,281
P10|P14,391,130,261
P11|P7,415,142,273
P13|P2,408,139,269
P13|P6,394,142,252
P2|P8,413,140,273
P6|P8,419,134,285
P13|P15,406,135,271
P12|P6,418,135,283
P10|P9,417,140,277
P16|P3,410,138,272
P10|P3,399,125,274
P5|P8,414,138,276
P5|P7,410,130,280
P11|P17,403,141,262
P2|P4,385,122,263
P11|P4,406,130,276
P6|P9,434,151,283
P11|P6,418,136,282
P1|P16,401,130,271
P13|P3,414,126,288
P10|P15,393,128,265
P4|P7,422,144,278
P17|P8,415,144,271
P10|P2,414,142,272
P13|P5,392,126,266
P11|P13,400,131,269
P15|P16,411,141,270
P15|P4,408,138,270
P4|P9,392,123,269
P1|P14,416,149,267
P12|P14,389,118,271
P14|P2,413,146,267
P4|P5,420,148,272
P16|P5,421,150,271
P18|P4,334,106,228
P18|P3,324,113,211
P18|P5,343,121,222
P11|P18,329,118,211
P18|P2,322,107,215
P18|P9,312,104,208
P10|P18,312,105,207
P16|P18,302,98,204
P18|P8,319,98,221
P1|P18,311,109,202
P18|P6,315,106,209
P17|P18,318,107,211
P15|P18,333,109,224
P18|P7,315,97,218
P13|P18,334,117,217
P14|P18,327,110,217
P12|P18,314,99,215
P19|P9,235,81,154
P19|P7,239,83,156
P11|P19,245,76,169
P16|P19,237,83,154
P17|P19,254,92,162
P19|P3,227,79,148
P14|P19,249,80,169
P18|P19,233,78,155
P15|P19,249,83,166
P19|P8,238,76,162
P13|P19,239,76,163
P12|P19,239,83,156
P19|P5,252,78,174
P19|P2,240,79,161
P10|P19,225,78,147
P19|P6,251,82,169
P19|P4,239,80,159
P1|P19,246,82,164
P11|P20,159,49,110
P20|P9,174,59,115
P1|P20,175,67,108
P13|P20,164,57,107
P15|P20,166,54,112
P20|P4,182,63,119
P20|P7,189,62,127
P16|P20,172,63,109
P12|P20,176,63,113
P20|P5,158,51,107
P18|P20,171,57,114
P19|P20,178,54,124
P20|P8,182,59,123
P10|P20,175,55,120
P14|P20,171,59,112
P20|P3,165,50,115
P17|P20,161,54,107
P2|P20,182,58,124
P20|P6,172,60,112
P2|P21,118,41,77
P1|P21,103,32,71
P15|P21,110,37,73
P21|P4,107,38,69
P11|P21,102,26,76
P13|P21,119,38,81
P21|P9,109,42,67
P21|P6,108,37,71
P19|P21,112,37,75
P21|P8,109,42,67
P18|P21,113,37,76
P17|P21,114,40,74
P14|P21,111,34,77
P12|P21,103,35,68
P21|P5,99,29,70
P10|P21,112,44,68
P21|P7,109,40,69
P21|P3,113,40,73
P20|P21,109,33,76
P16|P21,102,27,75
P12|P22,51,20,31
P22|P7,52,12,40
P19|P22,56,21,35
P14|P22,56,20,36
P1|P22,42,11,31
P22|P4,45,15,30
P2|P22,44,15,29
P18|P22,52,15,37
P16|P22,57,20,37
P21|P22,50,15,35
P22|P8,54,23,31
P11|P22,59,21,38
P13|P22,54,17,37
P22|P6,49,16,33
P10|P22,55,17,38
P17|P22,43,14,29
P22|P3,56,20,36
P15|P22,55,18,37
P22|P9,49,16,33
P22|P5,47,16,31
P20|P22,54,18,36
