playerId,level,totalWins,totalLosses,gamesPlayed
P1,1,45745,76927,122672
P2,1,46050,76508,122558
P3,2,54720,67832,122552
P4,2,54627,67943,122570
P5,2,54978,67604,122582
P6,2,55131,67404,122535
P7,2,54929,67673,122602
P8,3,63952,58648,122600
P9,3,64047,58507,122554
P10,3,63948,58646,122594
P11,3,64153,58516,122669
P12,3,63812,58809,122621
P13,3,64138,58457,122595
P14,4,73054,49505,122559
P15,4,62502,42914,105416
P16,4,52568,36871,89439
P17,4,40817,28611,69428
P18,4,29340,21251,50591
P19,5,21208,11655,32863
P20,5,10281,5719,16000
